lows,mid,ups,lvls
1.2841484605899862,62.739622358733214,124.19509625687644,0
1.2841484605899862,31.524143553327388,61.76413864606479,1
63.71510607140164,93.95510116413904,124.19509625687644,1
1.2841484605899862,15.916404150624468,30.54865984065895,2
32.49962726599581,47.131882956030296,61.76413864606479,2
63.71510607140164,78.34736176143613,92.97961745147062,2
1.2841484605899862,8.112534449273012,14.940920437956036,3
16.8918878632929,23.720273851975925,30.54865984065895,3
32.49962726599581,39.32801325467884,46.15639924336187,3
48.10736666869873,54.935752657381755,61.76413864606479,3
63.71510607140164,70.54349206008467,77.3718780487677,3
1.2841484605899862,4.210599598597282,7.137050736604579,4
9.088018161941443,12.01446929994874,14.940920437956036,4
16.8918878632929,19.818339001300195,22.74479013930749,4
24.695757564644357,27.622208702651655,30.54865984065895,4
32.49962726599581,35.426078404003114,38.352529542010416,4
40.30349696734727,43.229948105354566,46.15639924336187,4
48.10736666869873,51.033817806706026,53.96026894471333,4
55.91123637005019,58.837687508057485,61.76413864606479,4
63.71510607140164,66.64155720940894,69.56800834741624,4
1.2841484605899862,2.2596321732594182,3.2351158859288507,5
5.1860833112657145,6.161567023935147,7.137050736604579,5
9.088018161941443,10.063501874610875,11.038985587280306,5
12.989953012617171,13.965436725286605,14.940920437956036,5
20.793822713968627,21.76930642663806,22.74479013930749,5
24.695757564644357,25.67124127731379,26.64672498998322,5
28.597692415320086,29.57317612798952,30.54865984065895,5
32.49962726599581,33.47511097866525,34.450594691334686,5
36.40156211667155,37.377045829340986,38.352529542010416,5
40.30349696734727,41.2789806800167,42.25446439268614,5
44.205431818023,45.18091553069243,46.15639924336187,5
48.10736666869873,49.08285038136816,50.0583340940376,5
52.00930151937446,52.98478523204389,53.96026894471333,5
55.91123637005019,56.88672008271962,57.86220379538906,5
59.81317122072592,60.78865493339535,61.76413864606479,5
63.71510607140164,64.69058978407107,65.6660734967405,5
