lows,mid,ups,lvls
1.2841484605899862,19.45540186606675,100,0
1.2841484605899862,13.341343554075914,19.45540186606675,1
19.45540186606675,25.971511940799395,100,1
1.2841484605899862,9.572449167959654,13.341343554075914,2
13.341343554075914,16.526815211180004,19.45540186606675,2
19.45540186606675,22.43771336182818,25.971511940799395,2
25.971511940799395,31.36414974045396,100,2
1.2841484605899862,7.310588073027006,9.572449167959654,3
9.572449167959654,11.557108085716559,13.341343554075914,3
13.341343554075914,14.9843912591051,16.526815211180004,3
16.526815211180004,18.004822996029823,19.45540186606675,3
19.45540186606675,20.914570896590416,22.43771336182818,3
22.43771336182818,24.084342165912485,25.971511940799395,3
25.971511940799395,28.24886850726352,31.36414974045396,3
31.36414974045396,36.40045509326883,100,3
1.2841484605899862,5.92094747498866,7.310588073027006,4
7.310588073027006,8.489279995911474,9.572449167959654,4
9.572449167959654,10.589806647797689,11.557108085716559,4
11.557108085716559,12.46650703011043,13.341343554075914,4
13.341343554075914,14.171260847654453,14.9843912591051,4
14.9843912591051,15.766715587171433,16.526815211180004,4
16.526815211180004,17.272461497652024,18.004822996029823,4
18.004822996029823,18.732225907262116,19.45540186606675,4
19.45540186606675,20.18024476866039,20.914570896590416,4
20.914570896590416,21.666199512574,22.43771336182818,4
22.43771336182818,23.23883971389119,24.084342165912485,4
24.084342165912485,24.991787235200754,25.971511940799395,4
25.971511940799395,27.0398968653289,28.24886850726352,4
28.24886850726352,29.65645382418633,31.36414974045396,4
31.36414974045396,33.48035171647125,36.40045509326883,4
36.40045509326883,41.01080253239303,100,4
1.2841484605899862,3.6025479677893233,5.92094747498866,5
41.01080253239303,52.80864202591442,100,5
52.80864202591442,64.60648151943582,100,6
64.60648151943582,76.40432101295721,100,7
76.40432101295721,88.2021605064786,100,8
