fn,pid,host,thread,λsl1,λsl2,λtl1,λtl2,cv_logll,time,alpha,gen,paramid,prev_pred,prev_sd,final_pred,final_sd
28.csv,33034,c479-062,1,0.001,0.001,0.001,0.001,-0.10259204701566653,258.5267413808,0.39056811258789437,1,1,-Inf,0.0,-0.10256200458220013,9.99950488562182e-6
28.csv,33034,c479-062,2,0.001,0.001,0.001,20.0,-0.10446638809229185,300.1280400384,0.1,1,7,-Inf,0.0,-0.10441761206907565,9.999503326707099e-6
28.csv,33034,c479-062,3,0.001,0.001,5.0,0.001,-0.10188665852466663,300.135473117,0.4677757042207814,1,43,-Inf,0.0,-0.10186377434893246,9.999479721558407e-6
28.csv,33034,c479-062,4,0.001,0.001,5.0,20.0,-0.10177360022256482,300.1717785728,0.511433123376867,1,49,-Inf,0.0,-0.10175176258171399,9.999495019531998e-6
28.csv,33034,c479-062,1,0.001,20.0,0.001,0.001,-0.1001925983588585,290.2055016326,0.219196390578013,2,295,-0.10178267213790007,1.0049383040372859e-5,-0.10018662429360875,9.999450295007802e-6
28.csv,33034,c479-062,2,0.001,20.0,0.001,20.0,-0.09964576351411555,137.2785540736,0.9514535481506228,2,301,-0.10182462862303934,3.1749202121477626e-5,-0.09964621149077622,9.995460821580698e-6
28.csv,33034,c479-062,3,0.001,20.0,5.0,0.001,-0.09956961656793241,300.14196258460004,3.406523481144255,2,337,-0.10182744134061664,3.174884197184563e-5,-0.0995796906645422,9.700924325481685e-6
28.csv,33034,c479-062,4,0.001,20.0,5.0,20.0,-0.09950826076491179,300.1095100086,3.2560132113256524,2,343,-0.10193898673600314,5.709843392578399e-5,-0.09950571190646444,7.631904422386349e-6
28.csv,33034,c479-062,1,5.0,0.001,0.001,0.001,-0.10014386406417443,300.13797080940003,0.1,3,2059,-0.0995252086612237,1.004938304022371e-5,-0.10013832547948193,9.99924997920066e-6
28.csv,33034,c479-062,2,5.0,0.001,0.001,20.0,-0.09961307803711675,300.10803410320005,0.4762203276538721,3,2065,-0.09960163175911517,3.17488419718028e-5,-0.0996132874584306,9.989399913060592e-6
28.csv,33034,c479-062,3,5.0,0.001,5.0,0.001,-0.09952888961362455,116.39456870959998,0.372654660374958,3,2101,-0.0995859548236634,1.004938304022371e-5,-0.09953031653207267,9.270105831142369e-6
28.csv,33034,c479-062,4,5.0,0.001,5.0,20.0,-0.09953530236629853,168.020484631,0.45273996364575675,3,2107,-0.09960372688302979,3.174920212143555e-5,-0.0995357415942816,9.616591456526687e-6
28.csv,33034,c479-062,1,5.0,20.0,0.001,0.001,-0.10013831038729401,300.2433146398,0.6441489750436882,4,2353,-0.09952021625154643,1.004938304022371e-5,-0.10013367617986924,9.998855497638377e-6
28.csv,33034,c479-062,2,5.0,20.0,0.001,20.0,-0.09961074103750622,300.2250042114,3.3213082537118632,4,2359,-0.0995469941015927,1.004938301574581e-5,-0.09961087516632579,9.978634008511667e-6
28.csv,33034,c479-062,3,5.0,20.0,5.0,0.001,-0.09953212491570076,179.1944020552,0.922205012097263,4,2395,-0.09957418510361488,3.17488419718028e-5,-0.09953377932453193,9.17030002403321e-6
28.csv,33034,c479-062,4,5.0,20.0,5.0,20.0,-0.09952886467687157,208.0766151624,1.5084855377159418,4,2401,-0.09957560474071238,3.174920212143555e-5,-0.09953055393942739,9.376483824754567e-6
28.csv,33034,c479-062,1,0.001,20.0,2.5,20.0,-0.09950650116726553,300.2320411708,2.6022019243499512,5,336,-0.09956041752097604,3.174884196472182e-5,-0.09950714770453188,7.646968204567712e-6
28.csv,33034,c479-062,2,0.001,20.0,5.0,20.0,-0.099502966878171,300.24140220600003,2.5585911915579507,5,343,-0.09951770665222862,1.0049383015596744e-5,-0.09950571190646444,7.631904422386349e-6
28.csv,33034,c479-062,3,5.0,0.001,2.5,0.001,-0.09952886429502131,180.19666650199997,0.5123830143939532,5,2094,-0.09958065000392954,3.174884196472107e-5,-0.09952691559230632,9.080814125072219e-6
28.csv,33034,c479-062,4,5.0,20.0,5.0,20.0,-0.09952886467687157,226.86527839640002,1.5084855377159418,5,2401,-0.09953810291738024,1.0049383015596496e-5,-0.09953055393942739,9.376483824754567e-6
28.csv,33034,c479-062,1,0.001,10.0,5.0,20.0,-0.0995050011491634,300.40338817960003,2.1968200399067044,6,294,-0.09954312502277503,3.16317243256936e-5,-0.09950894726129772,7.66712905423302e-6
28.csv,33034,c479-062,2,0.001,10.0,2.5,20.0,-0.09951294023901973,300.2014751734,2.563728497655108,6,287,-0.09954573648131988,3.1631724135699574e-5,-0.09951235660932331,7.422913469985025e-6
28.csv,33034,c479-062,3,0.001,20.0,2.5,20.0,-0.09950548070626257,300.32832015540004,2.6022019243499512,6,336,-0.09951002212394501,9.632924250454974e-6,-0.09950714770453188,7.646968204567712e-6
28.csv,33034,c479-062,4,0.001,20.0,5.0,10.0,-0.09949593665873999,300.35081021620005,3.5008222891929863,6,342,-0.09954278787461976,3.163172432569357e-5,-0.09950213355952134,7.621632530178846e-6
28.csv,33034,c479-062,1,0.001,10.0,2.5,10.0,-0.09951483797473254,300.2886541946,2.9856750270645565,7,286,-0.09951379512808618,1.9214391239272437e-5,-0.09951528514268984,7.524066969937503e-6
28.csv,33034,c479-062,2,0.001,20.0,2.5,10.0,-0.09950074525956917,300.30330304560005,3.001527401064746,7,335,-0.09950663499155747,1.5890563534202245e-5,-0.09950422029309187,6.780857727693377e-6
28.csv,33034,c479-062,3,0.001,10.0,5.0,20.0,-0.09950836106710864,300.39516933400006,2.1968200399067044,7,294,-0.09950716613152351,8.707963331233104e-6,-0.09950894726129772,7.66712905423302e-6
28.csv,33034,c479-062,4,0.001,10.0,5.0,10.0,-0.09950944769589784,300.1988285182,2.560766812436714,7,293,-0.09950631726537514,1.58905705772237e-5,-0.09950944297404823,7.662583552865027e-6
28.csv,33034,c479-062,1,0.001,20.0,5.0,20.0,-0.09949874296411512,300.1705850544,2.5585911915579507,8,343,-0.0995020610870129,7.803381764904086e-6,-0.09950571190646444,7.631904422386349e-6
28.csv,33034,c479-062,2,0.001,20.0,2.5,10.0,-0.09949547853116525,300.2994128952,3.001527401064746,8,335,-0.09950274343760697,7.803382857805564e-6,-0.09950422029309187,6.780857727693377e-6
28.csv,33034,c479-062,3,0.001,20.0,5.0,10.0,-0.09949337595285984,300.29424481700005,3.0236196092011776,8,342,-0.09949863775953274,7.803382954032807e-6,-0.09950213355952134,7.621632530178846e-6
28.csv,33034,c479-062,4,0.001,20.0,2.5,20.0,-0.0995027047082072,300.3878763248,2.6022019243499512,8,336,-0.09950567405890702,7.803380855504945e-6,-0.09950714770453188,7.646968204567712e-6
28.csv,33034,c479-062,1,5.0,10.0,2.5,0.001,-0.09952893990651772,169.155358815,0.3384264629280921,9,2339,-0.0995774322852081,4.280085281295559e-5,-0.09952897854259803,8.520120619884948e-6
28.csv,33034,c479-062,2,0.001,20.0,2.5,10.0,-0.09949807862783364,300.2496932602,3.001527401064746,9,335,-0.09949856268543084,7.803382857805564e-6,-0.09950422029309187,6.780857727693377e-6
28.csv,33034,c479-062,3,0.001,20.0,5.0,20.0,-0.09950160900542071,300.1624770516,2.5585911915579507,9,343,-0.09949852239388778,7.803381764904086e-6,-0.09950571190646444,7.631904422386349e-6
28.csv,33034,c479-062,4,0.001,20.0,5.0,10.0,-0.09949597808811696,300.3258304118,3.5008222891929863,9,342,-0.09949516416439504,7.803382954032807e-6,-0.09950213355952134,7.621632530178846e-6
28.csv,33034,c479-062,1,2.5,20.0,2.5,0.001,-0.09953119218638964,188.0238353142,1.2648872579139803,10,2045,-0.09955127013224518,3.740029345445683e-5,-0.09953080213483251,7.2419295451382646e-6
