fn,pid,host,thread,λsl1,λsl2,λtl1,λtl2,cv_logll,time,alpha,gen,paramid,prev_pred,prev_sd,final_pred,final_sd
03.csv,359923,c502-124,1,0.001,0.001,0.001,0.001,-0.12988194569715358,182.527048487,0.1,1,1,-Inf,0.0,-0.12987156236417635,9.999504866371796e-6
03.csv,359923,c502-124,2,0.001,0.001,0.001,20.0,-0.1297534300012252,300.2040648264,0.43879063867344004,1,7,-Inf,0.0,-0.1297443046995741,9.999476948680932e-6
03.csv,359923,c502-124,3,0.001,0.001,5.0,0.001,-0.13021027983705233,300.168699322,0.9785199100109848,1,43,-Inf,0.0,-0.13019661356284798,9.999504860808731e-6
03.csv,359923,c502-124,4,0.001,0.001,5.0,20.0,-0.1298126579841297,300.17002639960003,1.1240031603463645,1,49,-Inf,0.0,-0.12980301726443147,9.999357418186456e-6
03.csv,359923,c502-124,1,0.001,20.0,0.001,0.001,-0.12941610366365872,114.89877861560001,1.0793130717583437,2,295,-0.12991457687981653,0.0001000049998640665,-0.12941040175063506,9.99948414212117e-6
03.csv,359923,c502-124,2,0.001,20.0,0.001,20.0,-0.12918226138940375,72.7141950578,2.3868251981397224,2,301,-0.12991457660266667,0.00010000499972519496,-0.12917808681242618,9.993663070381878e-6
03.csv,359923,c502-124,3,0.001,20.0,5.0,0.001,-0.12913736052664515,300.13868453120006,5.0,2,337,-0.12991451648440883,0.00010000497873821688,-0.12914806692237535,9.580768947575339e-6
03.csv,359923,c502-124,4,0.001,20.0,5.0,20.0,-0.12910226438725245,300.07923500839996,5.0,2,343,-0.12991459102713354,0.00010000499978247808,-0.12909165982910248,8.233480901566863e-6
03.csv,359923,c502-124,1,5.0,0.001,0.001,0.001,-0.13048708034693982,300.1274652842,0.8605266706125475,3,2059,-0.12912814612755139,3.174920212143555e-5,-0.1304706530060303,9.999504919146133e-6
03.csv,359923,c502-124,2,5.0,0.001,0.001,20.0,-0.13059702086378036,300.1431147014,4.026575669218849,3,2065,-0.12922050908774402,4.2801095931821005e-5,-0.13057957278300755,9.999503405697838e-6
03.csv,359923,c502-124,3,5.0,0.001,5.0,0.001,-0.13105407029941427,300.1250002394,3.2092632185162797,3,2101,-0.1291068589165148,1.004938304022371e-5,-0.1310319636725078,9.999504333470186e-6
03.csv,359923,c502-124,4,5.0,0.001,5.0,20.0,-0.13094833131105577,300.1729064786,5.0,3,2107,-0.12914160596350144,1.004938304022371e-5,-0.13092727687942254,9.999504375748241e-6
03.csv,359923,c502-124,1,5.0,20.0,0.001,0.001,-0.1305269313323501,300.2651146958,4.967087897815004,4,2353,-0.1291108872173051,1.004938304022371e-5,-0.13051019303493186,9.999498856972314e-6
03.csv,359923,c502-124,2,5.0,20.0,0.001,20.0,-0.13008269140164674,300.1847672296,5.0,4,2359,-0.12915094076581468,3.174920212143558e-5,-0.13007153856784093,9.998777112974322e-6
03.csv,359923,c502-124,3,5.0,20.0,5.0,0.001,-0.1307494400030402,300.19879027,4.890151421322328,4,2395,-0.12915083746408862,3.174920212143555e-5,-0.13073035506766612,9.99941493702355e-6
03.csv,359923,c502-124,4,5.0,20.0,5.0,20.0,-0.13096677603238127,300.19523212639996,5.0,4,2401,-0.1291832551648456,3.174884197180277e-5,-0.1309454745436261,9.999421236371143e-6
03.csv,359923,c502-124,1,0.001,20.0,5.0,20.0,-0.12910605809613912,300.2106212222001,5.0,5,343,-0.1291124323211909,1.0049383015596744e-5,-0.12909165982910248,8.233480901566863e-6
03.csv,359923,c502-124,2,0.001,10.0,5.0,20.0,-0.12905663837451878,300.35290690859995,5.0,5,294,-0.12915961651925204,3.1749202114354655e-5,-0.12898300322714085,6.372925920812325e-6
03.csv,359923,c502-124,3,0.001,20.0,2.5,20.0,-0.12916153288462398,300.3054953784,5.0,5,336,-0.12915825349413543,3.174884196472182e-5,-0.12913926676113946,8.841988969210265e-6
03.csv,359923,c502-124,4,0.001,20.0,5.0,0.001,-0.12903813043186702,300.3032101846,5.0,5,337,-0.12914717784433918,1.0049383015596744e-5,-0.12914806692237535,9.580768947575339e-6
03.csv,359923,c502-124,1,0.001,20.0,2.5,0.001,-0.12921823713018205,300.2881418634,5.0,6,330,-0.1290867932800792,3.1748841928302766e-5,-0.12920987194705394,9.580776064666543e-6
03.csv,359923,c502-124,2,0.001,20.0,5.0,0.001,-0.12914306844068207,300.16257369960005,5.0,6,337,-0.12904688585576407,1.0049383015596415e-5,-0.12914806692237535,9.580768947575339e-6
03.csv,359923,c502-124,3,0.001,10.0,5.0,20.0,-0.12892316030962156,300.3640969782,5.0,6,294,-0.12906543755326758,9.629700553678297e-6,-0.12898300322714085,6.372925920812325e-6
03.csv,359923,c502-124,4,0.001,5.0,5.0,20.0,-0.12856900426973175,300.3875228822,5.0,6,245,-0.12910315285805893,2.254175276529353e-5,-0.12889503220282533,6.061083959003915e-6
03.csv,359923,c502-124,1,0.001,2.5,5.0,20.0,-0.1288544680758324,300.29825898139995,4.580594511898598,7,196,-0.12847161749421285,2.2009734431542124e-5,-0.12884233985870785,5.840147279881717e-6
03.csv,359923,c502-124,2,0.001,1.0,5.0,20.0,-0.12882070429286344,300.42339408879997,3.7617303963779536,7,147,-0.12849304813378623,4.836757963799419e-5,-0.12882564533543192,7.604124427696173e-6
03.csv,359923,c502-124,3,0.001,2.5,2.5,20.0,-0.1288141525076325,300.211463964,4.533792652208881,7,189,-0.1285340108197062,3.2467247148463613e-5,-0.1288124845582306,6.2916107946071185e-6
03.csv,359923,c502-124,4,0.001,1.0,2.5,20.0,-0.12876224918493415,300.2449665236,2.450967072020751,7,140,-0.1285536247288274,5.400658836984002e-5,-0.12878096056881327,4.878695557455009e-6
03.csv,359923,c502-124,1,0.001,2.5,5.0,20.0,-0.12885088621149007,300.18598337779997,5.0,8,196,-0.12873785967594364,6.737134336782534e-6,-0.12884233985870785,5.840147279881717e-6
03.csv,359923,c502-124,2,0.001,5.0,5.0,20.0,-0.1289112036201273,300.26949155520003,5.0,8,245,-0.12874902091985738,6.4878575882596224e-6,-0.12889503220282533,6.061083959003915e-6
03.csv,359923,c502-124,3,0.001,2.5,5.0,10.0,-0.12884697493306166,300.3662603188,5.0,8,195,-0.12877922044354953,3.094357660114384e-5,-0.12881052777159663,7.884047107104668e-6
03.csv,359923,c502-124,4,0.001,2.5,2.5,20.0,-0.12881417616157237,300.3538691968,4.533792652208881,8,189,-0.12877254610736505,8.242238977102767e-6,-0.1288124845582306,6.2916107946071185e-6
03.csv,359923,c502-124,1,0.001,1.0,2.5,20.0,-0.12876227247039826,300.23316013159996,2.450967072020751,9,140,-0.12877432055966223,8.696542332884592e-6,-0.12878096056881327,4.878695557455009e-6
03.csv,359923,c502-124,2,0.001,2.5,2.5,20.0,-0.1288141699696525,300.2777907042,4.533792652208881,9,189,-0.12881545261851046,8.234239467302598e-6,-0.1288124845582306,6.2916107946071185e-6
03.csv,359923,c502-124,3,0.001,0.5,1.25,20.0,-0.128781951983838,300.3264180852,1.1799390180796718,9,84,-0.12881183239934768,2.8589345355367422e-5,-0.12876920075197884,6.5967971644999675e-6
03.csv,359923,c502-124,4,0.001,0.5,2.5,20.0,-0.1287942960509225,300.2970117124,1.3058400341636598,9,91,-0.12880072773270787,1.8841550633112977e-5,-0.1287962675521153,7.017685616044417e-6
03.csv,359923,c502-124,1,0.001,1.0,2.5,20.0,-0.12876225585215306,300.3185720946,2.450967072020751,10,140,-0.1287711232403051,6.250538619513718e-6,-0.12878096056881327,4.878695557455009e-6
03.csv,359923,c502-124,2,0.001,0.5,1.25,20.0,-0.12878194011230149,300.2469994232,1.1799390180796718,10,84,-0.12878512560547387,9.090586144034345e-6,-0.12876920075197884,6.5967971644999675e-6
03.csv,359923,c502-124,3,0.001,1.0,1.25,20.0,-0.12853455911458536,300.33586124960004,2.618276777675997,10,133,-0.12877644536035474,1.2368419934665469e-5,-0.12875360863479676,4.6520173178444145e-6
03.csv,359923,c502-124,4,0.001,1.0,2.5,10.0,-0.12874468680721737,300.3360883264,2.52590496122072,10,139,-0.12878744141308318,1.8169139922867328e-5,-0.12875320206631852,4.714186761106994e-6
