slambdasl1,slambdasl2,tlambdasl1,tlambdasl2,pred,band,tested
0.01,0.01,0.01,0.01,-0.14317088413236032,9.989620934560927e-5,false
0.01,0.01,0.01,0.5,-0.14457144264127506,9.335751997940953e-5,false
0.01,0.01,0.01,1.0,-0.1446414060043392,9.253670320450013e-5,false
0.01,0.01,0.01,2.5,-0.14448885665873767,9.335340557229812e-5,false
0.01,0.01,0.01,5.0,-0.14422649973210014,9.478605354783646e-5,false
0.01,0.01,0.01,10.0,-0.1439068244864198,9.613398612953977e-5,false
0.01,0.01,0.01,20.0,-0.1435966042607031,9.710355134243863e-5,false
0.01,0.01,0.25,0.01,-0.1435336646118232,9.921493999478373e-5,false
0.01,0.01,0.25,0.5,-0.14744686202929116,3.13809631693605e-5,false
0.01,0.01,0.25,1.0,-0.14764544904239413,9.99698301006761e-6,true
0.01,0.01,0.25,2.5,-0.14722481167151938,3.915149207288331e-5,false
0.01,0.01,0.25,5.0,-0.1464960516171511,6.140901514963157e-5,false
0.01,0.01,0.25,10.0,-0.14560608811594328,7.7001044929735e-5,false
0.01,0.01,0.25,20.0,-0.14474078250012867,8.648066572627384e-5,false
0.01,0.01,0.5,0.01,-0.14350610401731329,9.927408505993358e-5,false
0.01,0.01,0.5,0.5,-0.14723222042749196,4.241484892708414e-5,false
0.01,0.01,0.5,1.0,-0.14742141945159765,3.152422354962656e-5,false
0.01,0.01,0.5,2.5,-0.14702115363812565,4.7908197910798836e-5,false
0.01,0.01,0.5,5.0,-0.14632749050748825,6.579172465139355e-5,false
0.01,0.01,0.5,10.0,-0.14548031991183982,7.930473939964965e-5,false
0.01,0.01,0.5,20.0,-0.14465655925027576,8.773923550248707e-5,false
0.01,0.01,0.75,0.01,-0.14346771169448155,9.93619932037856e-5,false
0.01,0.01,0.75,0.5,-0.14693071475668623,5.376391857875444e-5,false
0.01,0.01,0.75,1.0,-0.14710658674191104,4.681881972341543e-5,false
0.01,0.01,0.75,2.5,-0.14673468961491368,5.7606294707649984e-5,false
0.01,0.01,0.75,5.0,-0.14609012535361857,7.126969278742167e-5,false
0.01,0.01,0.75,10.0,-0.1453029001549634,8.232618351591503e-5,false
0.01,0.01,0.75,20.0,-0.14453740996119088,8.943504311557823e-5,false
0.01,0.01,1.25,0.01,-0.143402213683628,9.950105521513662e-5,false
0.01,0.01,1.25,0.5,-0.14641537044868744,6.764960090097957e-5,false
0.01,0.01,1.25,1.0,-0.14656842007507007,6.358476678246105e-5,false
0.01,0.01,1.25,2.5,-0.1462449304647199,7.000329802688023e-5,false
0.01,0.01,1.25,5.0,-0.14568421715172572,7.900587911854876e-5,false
0.01,0.01,1.25,10.0,-0.14499939136063997,8.681122168167321e-5,false
0.01,0.01,1.25,20.0,-0.1443334632996254,9.201986968143779e-5,false
0.01,0.01,2.5,0.01,-0.14329773258073417,9.968772156062817e-5,false
0.01,0.01,2.5,0.5,-0.14559215434295367,8.241200690854255e-5,false
0.01,0.01,2.5,1.0,-0.14570871614973777,8.047303263992882e-5,false
0.01,0.01,2.5,2.5,-0.14546248946742668,8.355573647000786e-5,false
0.01,0.01,2.5,5.0,-0.1450356589363621,8.816887617006796e-5,false
0.01,0.01,2.5,10.0,-0.14451434837958407,9.24058687714099e-5,false
0.01,0.01,2.5,20.0,-0.14400742288399745,9.534410820438073e-5,false
0.01,0.01,5.0,0.01,-0.14319497435525788,9.982771096857089e-5,false
0.01,0.01,5.0,0.5,-0.144781353484566,9.16628954745121e-5,false
0.01,0.01,5.0,1.0,-0.14486196658094933,9.080246337503699e-5,false
0.01,0.01,5.0,2.5,-0.1446918140736747,9.21763315637004e-5,false
0.01,0.01,5.0,5.0,-0.14439681902531595,9.429026485756941e-5,false
0.01,0.01,5.0,10.0,-0.14403652597633332,9.629117388168278e-5,false
0.01,0.01,5.0,20.0,-0.14368617961631347,9.77120738590949e-5,false
0.01,0.5,0.01,0.01,-0.14303450755431094,9.79991488230553e-5,false
0.01,0.5,0.01,0.5,-0.14341596928061226,8.457406847692515e-5,false
0.01,0.5,0.01,1.0,-0.14342851912090623,8.496406243915341e-5,false
0.01,0.5,0.01,2.5,-0.1433779029756051,8.909077965752637e-5,false
0.01,0.5,0.01,5.0,-0.14330135359552784,9.283397614128934e-5,false
0.01,0.5,0.01,10.0,-0.14321186597216834,9.572877423702036e-5,false
0.01,0.5,0.01,20.0,-0.14312762199037288,9.754610018996578e-5,false
0.01,0.5,0.25,0.01,-0.14309374972528785,8.933417322428744e-5,false
0.01,0.5,0.25,0.5,-0.14392688312640797,7.894483121191428e-5,false
0.01,0.5,0.25,1.0,-0.1439651042550781,7.652161491008972e-5,false
