slambdasl1,slambdasl2,tlambdasl1,tlambdasl2,pred,band,tested
0.001,0.001,1.25,0.5,-0.05231635502461407,9.769383891877028e-5,false
0.001,0.001,1.25,1.0,-0.05240947569185287,9.418169434480198e-5,false
0.001,0.001,1.25,2.5,-0.05256768429968555,8.457880189578013e-5,false
0.001,0.001,1.25,5.0,-0.05268530638564387,7.351010625518983e-5,false
0.001,0.001,1.25,10.0,-0.05277096996602665,6.221332274356513e-5,false
0.001,0.001,1.25,20.0,-0.05280201456345006,5.703313989380268e-5,false
0.001,0.001,2.5,0.001,-0.05295511771109706,3.171344304082994e-5,false
0.001,0.001,2.5,0.5,-0.052339979942341304,9.693648437357096e-5,false
0.001,0.001,2.5,1.0,-0.05244589252426632,9.218120444012439e-5,false
0.001,0.001,2.5,2.5,-0.05262630146102911,7.878564031965854e-5,false
0.001,0.001,2.5,5.0,-0.05276062177209784,6.223765568137833e-5,false
0.001,0.001,2.5,10.0,-0.05285861604485619,4.2769066188553624e-5,false
0.001,0.001,2.5,20.0,-0.05289442758477871,3.171250849184076e-5,false
0.001,0.001,5.0,0.001,-0.052993875357978566,9.999441901243766e-6,true
0.001,0.001,5.0,0.5,-0.05234714984256194,9.663393569056555e-5,false
0.001,0.001,5.0,1.0,-0.05245774036240484,9.136582396174908e-5,false
0.001,0.001,5.0,2.5,-0.052646404655389376,7.632791259358832e-5,false
0.001,0.001,5.0,5.0,-0.05278699735135649,5.706851955266025e-5,false
0.001,0.001,5.0,10.0,-0.05288968414023893,3.172431683337962e-5,false
0.001,0.001,5.0,20.0,-0.05292741858089366,9.999441410539114e-6,true
0.001,0.5,0.001,0.001,-0.05231874322764595,2.8475881563599935e-5,false
0.001,0.5,0.001,0.5,-0.05222152419516553,6.030346791870757e-5,false
0.001,0.5,0.001,1.0,-0.052241097617392145,4.25664312654449e-5,false
0.001,0.5,0.001,2.5,-0.05225749635916087,2.5641698349337726e-5,false
0.001,0.5,0.001,5.0,-0.052258070617552846,3.558770278651864e-5,false
0.001,0.5,0.001,10.0,-0.052247851958590545,5.318361932705231e-5,false
0.001,0.5,0.001,20.0,-0.05222922514128751,6.822118467761528e-5,false
0.001,0.5,0.25,0.001,-0.05220828260178787,7.459170702992392e-5,false
0.001,0.5,0.25,0.5,-0.05262048017418641,9.988421140625736e-6,true
0.001,0.5,0.25,1.0,-0.052586798764315455,2.896792412303452e-5,false
0.001,0.5,0.25,2.5,-0.05249148527739272,5.5611863711711717e-5,false
0.001,0.5,0.25,5.0,-0.052405389520778056,6.698666944115076e-5,false
0.001,0.5,0.25,10.0,-0.052326593029599,7.133972118634815e-5,false
0.001,0.5,0.25,20.0,-0.05226436476608861,7.243535990814503e-5,false
0.001,0.5,0.5,0.001,-0.052210708145208964,6.731356606404408e-5,false
0.001,0.5,0.5,0.5,-0.052575178095089554,2.5885099022049777e-5,false
0.001,0.5,0.5,1.0,-0.0525402928701979,3.142021552018425e-5,false
0.001,0.5,0.5,2.5,-0.052450893114477946,5.1059940313842964e-5,false
0.001,0.5,0.5,5.0,-0.052373921437435446,6.043656831424135e-5,false
0.001,0.5,0.5,10.0,-0.052306073607255255,6.340646433365818e-5,false
0.001,0.5,0.5,20.0,-0.052254267359476476,6.352803507726154e-5,false
0.001,0.5,0.75,0.001,-0.05221149614381146,6.1030046797983576e-5,false
0.001,0.5,0.75,0.5,-0.05252858554332026,3.599528686629004e-5,false
0.001,0.5,0.75,1.0,-0.05249442762306039,3.493015379072898e-5,false
0.001,0.5,0.75,2.5,-0.052412622456410506,4.7927097759118634e-5,false
0.001,0.5,0.75,5.0,-0.05234478225104297,5.555306419502455e-5,false
0.001,0.5,0.75,10.0,-0.05228683945379489,5.757902126469229e-5,false
0.001,0.5,0.75,20.0,-0.052243868843156814,5.708507055134946e-5,false
0.001,0.5,1.25,0.001,-0.052211111754124614,4.99410534829778e-5,false
0.001,0.5,1.25,0.5,-0.05245586509867529,4.474830442295672e-5,false
0.001,0.5,1.25,1.0,-0.05242390459973739,3.6687248339475757e-5,false
0.001,0.5,1.25,2.5,-0.052354724478590534,4.126232750543272e-5,false
0.001,0.5,1.25,5.0,-0.05230093715758503,4.688355103348135e-5,false
0.001,0.5,1.25,10.0,-0.052257651660889554,4.7886691772263566e-5,false
0.001,0.5,1.25,20.0,-0.05222739812389074,4.6631674287124116e-5,false
0.001,0.5,2.5,0.001,-0.05220742131665617,2.9032956777331742e-5,false
0.001,0.5,2.5,0.5,-0.05234816595537194,5.012583026193374e-5,false
0.001,0.5,2.5,1.0,-0.05232084064392113,3.324565109657231e-5,false
0.001,0.5,2.5,2.5,-0.052271287189571976,2.565362038729527e-5,false
0.001,0.5,2.5,5.0,-0.052237950724212334,2.9891951261829143e-5,false
0.001,0.5,2.5,10.0,-0.05221521564112724,3.004002290286177e-5,false
0.001,0.5,2.5,20.0,-0.052202309077754076,2.745972989431342e-5,false
0.001,0.5,5.0,0.001,-0.052199782196608174,9.99438570881218e-6,true
0.001,0.5,5.0,0.5,-0.05225014090607695,5.312908771617053e-5,false
0.001,0.5,5.0,1.0,-0.05222839073762151,3.113801570852215e-5,false
0.001,0.5,5.0,2.5,-0.052197511662029586,9.897418087254845e-6,true
0.001,0.5,5.0,5.0,-0.052182291198904926,1.5220608236317503e-5,false
0.001,0.5,5.0,10.0,-0.05217696327480658,1.5290853059159543e-5,false
0.001,0.5,5.0,20.0,-0.05217825443238835,9.894618619401683e-6,true
0.001,1.0,0.001,0.001,-0.05231344076746808,9.989470914500244e-6,true
0.001,1.0,0.001,0.5,-0.052193443142418826,4.7858031036019134e-5,false
0.001,1.0,0.001,1.0,-0.05220983318742563,3.0052418337419078e-5,false
0.001,1.0,0.001,2.5,-0.05222269188308157,9.956539033754423e-6,true
0.001,1.0,0.001,5.0,-0.052221277486012,2.3573533988160753e-5,false
0.001,1.0,0.001,10.0,-0.052210231634216175,4.085341628180703e-5,false
0.001,1.0,0.001,20.0,-0.05219260629269749,5.517039807260741e-5,false
0.001,1.0,0.25,0.001,-0.05221139754322243,5.876389188954143e-5,false
0.001,1.0,0.25,0.5,-0.052581965420063596,2.749346210814154e-5,false
0.001,1.0,0.25,1.0,-0.052546897295187085,3.3839352801494866e-5,false
0.001,1.0,0.25,2.5,-0.05245514655072287,5.179896140545679e-5,false
0.001,1.0,0.25,5.0,-0.05237505422741545,5.923748571737899e-5,false
0.001,1.0,0.25,10.0,-0.05230369022607468,6.011956618293058e-5,false
0.001,1.0,0.25,20.0,-0.052248867393506954,5.8762339742562314e-5,false
0.001,1.0,0.5,0.001,-0.05221177201041581,5.4787178246102315e-5,false
0.001,1.0,0.5,0.5,-0.05254013001986934,3.4029668699870754e-5,false
0.001,1.0,0.5,1.0,-0.05250376402831151,3.42763895192237e-5,false
0.001,1.0,0.5,2.5,-0.05241729470285805,4.6663287323089586e-5,false
0.001,1.0,0.5,5.0,-0.052345614347737345,5.255433258297108e-5,false
0.001,1.0,0.5,10.0,-0.05228445583440902,5.246698626044175e-5,false
0.001,1.0,0.5,20.0,-0.05223941477020557,5.032980593512558e-5,false
0.001,1.0,0.75,0.001,-0.05221099984849226,5.191465632852039e-5,false
0.001,1.0,0.75,0.5,-0.0524973513879775,4.091399532046319e-5,false
0.001,1.0,0.75,1.0,-0.052461738282175686,3.7066537132610444e-5,false
0.001,1.0,0.75,2.5,-0.052382292740155635,4.4202476254704254e-5,false
0.001,1.0,0.75,5.0,-0.05231897590236865,4.8817542265564256e-5,false
0.001,1.0,0.75,10.0,-0.0522668497296849,4.833984658418993e-5,false
0.001,1.0,0.75,20.0,-0.05222984252608505,4.597147478749589e-5,false
0.001,1.0,1.25,0.001,-0.052208512971264394,4.597351863102872e-5,false
0.001,1.0,1.25,0.5,-0.05243088937001528,4.756848805827973e-5,false
0.001,1.0,1.25,1.0,-0.05239761162216492,3.875919594414402e-5,false
0.001,1.0,1.25,2.5,-0.052329967942577924,3.922425574902125e-5,false
0.001,1.0,1.25,5.0,-0.052279486891512746,4.248672408476424e-5,false
0.001,1.0,1.25,10.0,-0.05224058230263101,4.180419035884782e-5,false
