fn,pid,host,thread,λsl1,λsl2,λtl1,λtl2,cv_logll,cv_logll_std,time,alpha,gen,prev_pred,prev_sd,prim_norm,dual_norm,steps,final_pred,final_sd
13.csv,232052,c460-061,"1, 2, 3, 4, 5",1.4770659529169485,0.001259136884191412,2.226913414178116,0.003795823535204938,-0.6909534006696403,9.18607952263551e-5,1063.8621169792,5.863826664487233,1,-Inf,0.0,9.501773648859079e-5,0.0009971708433054638,1200.2,-0.6909392584840739,0.0010823441789929954
13.csv,232052,c460-061,"6, 7, 8, 9, 10",1.8715378543321664,0.055745747871383644,0.01924364606962246,3.9881046844633836,-0.6897439027260885,0.00014743558694542741,1202.3082447348,4.634630075787003,1,-Inf,0.0,0.004661805334235926,0.013880753666420304,1390.0,-0.6897839003510806,0.0012531543250220588
13.csv,232052,c460-061,"11, 12, 13, 14, 15",0.7131902248354062,0.011318013036345534,0.011112048271792768,0.4197123921652898,-0.6902098287342022,0.0002833062939477161,1202.294041908,2.378298048386295,1,-Inf,0.0,0.006168782335803616,0.01555022898050649,1377.4,-0.6906208582872126,0.00034983837582560224
13.csv,232052,c460-061,"16, 17, 18, 19, 20",1.0828462719619414,0.12715636297848648,0.06329413129075205,0.06388805157588563,-0.6898780806113775,0.0001503414021616378,1202.1499610358,3.1655147024021595,1,-Inf,0.0,0.002986167347573616,0.010300896574559145,1381.2,-0.6907445821762989,0.00044368348375917644
13.csv,232052,c460-061,"21, 22, 23, 24, 25",3.5972783278294833,0.00041879008449291467,3.401812518244397,0.0006127746084532855,-0.6907379755036882,6.938753232612944e-5,1138.9331875550001,6.6621880413423025,1,-Inf,0.0,6.711121944008648e-5,0.0009972467939864489,1333.2,-0.6897532989081355,0.0012763259480055708
13.csv,232052,c460-061,"26, 27, 28, 29, 30",1.2950474585708598,0.00046677523370199385,0.013586192068513891,0.005696757316960812,-0.689801745877295,0.0001895812701124676,1202.2044076378002,3.4820661726423756,1,-Inf,0.0,0.02815342485578315,0.35303018659020563,1365.4,-0.690634647873305,0.0004894740139714962
13.csv,232052,c460-061,"1, 2, 3, 4, 5",2.982069472005829,5.548536123668051,0.5739930042502647,0.005470725664352252,-0.6902200569074631,0.00010396170170171669,1201.5286275224,7.652338466647437,2,-0.6899818922257149,0.00043018729907993774,0.002922658253136965,0.016339633317470008,1491.0,-0.6896314422476876,0.0012785834191044573
13.csv,232052,c460-061,"6, 7, 8, 9, 10",0.8486886670715087,4.714832074318291,0.011937072184096556,0.6397146624607479,-0.6895463372818159,0.00018352801729380137,1201.1337497278,3.1655147024021595,2,-0.6897073977849294,0.0003931028946133552,0.004750309888580071,0.0110634439395421,1456.2,-0.6897831637244639,0.0012707273318369877
13.csv,232052,c460-061,"11, 12, 13, 14, 15",0.8086998745178264,4.571944769493881,1.6438798323918868,0.21623371384476903,-0.6905936937923152,9.322191441786973e-5,1197.9265555440002,8.374740489525127,2,-0.689872450657284,0.0004286110564879379,0.0011331372274500737,0.0017854318598356463,1483.2,-0.6897971124959594,0.0012730449525591683
13.csv,232052,c460-061,"16, 17, 18, 19, 20",0.02278089232015077,2.688514666801421,0.029829665586563022,0.24864211657156568,-0.690083505767573,0.00033730636983971755,1201.3847224336,1.0691483703865892,2,-0.6899547479605688,0.00044901939151035565,0.002580753674549545,0.004600515348727356,1444.4,-0.690437152409098,0.0009803879130133627
13.csv,232052,c460-061,"21, 22, 23, 24, 25",0.010097879531805845,3.6276126589557087,0.7758583836698938,0.0001911506335935572,-0.6893830790285861,0.00012544231668673805,1201.664044549,1.8940075371886245,2,-0.6901995568829282,0.0005086430390625046,0.02379681048945526,0.01207800176082904,1429.8,-0.6902081655149703,0.0012060535094422632
13.csv,232052,c460-061,"26, 27, 28, 29, 30",4.679204136832493,0.45687689607630055,0.11625947192335781,0.42705830780623,-0.6893102409854928,0.00019863113334782963,1201.1681717686001,9.934741168946479,2,-0.6896401788463837,0.00024282067081693933,0.007532739693464151,0.6077978975307,1494.0,-0.6894966148524678,0.001268389059383275
13.csv,232052,c460-061,"1, 2, 3, 4, 5",0.21021564437590437,1.3650551545490732,2.231825583817942,0.00017610914317449857,-0.6901060025767674,0.00016193839009026378,1201.1934717978,6.7978992792214985,3,-0.6898569086002003,0.00031065252113845234,0.006746987973732685,0.013635388609413369,1535.0,-0.6908544907988061,0.001027169305542409
13.csv,232052,c460-061,"6, 7, 8, 9, 10",0.14543700779332455,0.12320765464834361,0.06198523286357477,4.170653661170825,-0.6904955624127419,0.00015508005291349207,1201.0964504638,1.68938595063298,3,-0.6900581199054574,0.0002767588428334153,0.0077073648778004395,0.0021474737586709386,1451.6,-0.6895829594397545,0.0012452076426021856
13.csv,232052,c460-061,"11, 12, 13, 14, 15",0.019325985554114876,1.7803878129990618,0.015591937267922816,0.00023320974286862825,-0.6913235092167659,0.0004653484380041654,1201.3283913836,0.8335789571078973,3,-0.6895846987473412,0.0003972276748624264,0.00552293201017647,0.016003713869388904,1423.2,-0.6906049281257678,0.0006027054004957959
13.csv,232052,c460-061,"16, 17, 18, 19, 20",4.693760381400874,4.8329912552663385,0.011163480206368282,0.0001807337030669791,-0.6888813469791892,0.00027112809355271764,1201.4895521619999,9.57347785371206,3,-0.6898622502899496,0.0004500171176808124,0.020402644835367145,1.9666687821416857,1505.2,-0.6896126257470488,0.0012786680594537548
13.csv,232052,c460-061,"21, 22, 23, 24, 25",2.4882560341132516,0.00010326355575665594,0.0630697374016851,0.00010231937508700146,-0.6895941901398513,0.0001557991972788925,1201.1297819152,5.607902391702274,3,-0.6899284054815348,0.00036680166255811166,0.006601736297320639,0.12898947083013979,1536.4,-0.6900166843861606,0.0009349654862664552
13.csv,232052,c460-061,"26, 27, 28, 29, 30",0.05274326124899902,0.2993262270406822,0.021542251595695304,0.00035137528189491655,-0.6946071867627611,0.0006674531819824675,1201.2757352212,0.47053358992882366,3,-0.6897151352565764,0.0004036405977366851,0.0051726922631609605,0.004441627840035004,1448.8,-0.6903662308079906,0.00019601693781388593
13.csv,232052,c460-061,"1, 2, 3, 4, 5",3.7971148946916258,0.0002642317467896233,0.055176129014541116,0.05993295429278466,-0.6892096165957076,0.00018609674111282068,1201.388270756,8.210529891691303,4,-0.6894737448791948,0.0006810366145854058,0.01635804484102119,0.8156460867327631,1492.6,-0.6894796281112608,0.0012120807588345813
13.csv,232052,c460-061,"6, 7, 8, 9, 10",4.56603837546521,0.014975839573255314,0.745063912062398,0.1851840463938561,-0.6903443279539697,0.00012178413876738297,1201.5461785822001,8.061247530024188,4,-0.6896491700427548,0.0006560857293400855,0.002318431067784753,0.06133545611200002,1491.4,-0.6895805818426635,0.001268924540382823
13.csv,232052,c460-061,"11, 12, 13, 14, 15",2.13166553265131,3.6732647062409516,0.14262054842518657,0.00023128425562262024,-0.6897015333527209,0.00014752730317943124,1201.743373158,5.098093083365703,4,-0.6896837951573865,0.0004026320030178291,0.0015126753439620411,0.010479130199041176,1472.2,-0.6898816826274499,0.0012524288308633285
13.csv,232052,c460-061,"16, 17, 18, 19, 20",4.586123203599414,0.0028927678967995757,0.5756243337654842,0.1717559105751241,-0.6901465404876203,9.724369134928564e-5,1201.5475996558002,8.210529891691303,4,-0.6897575987840199,0.0007414139273585218,0.0047353641234702554,0.07469742343780031,1504.4,-0.6895546223526657,0.00126786845482092
13.csv,232052,c460-061,"21, 22, 23, 24, 25",4.162553618728864,0.30400518785313246,0.01613471241786868,0.690789970885955,-0.6890847959255492,0.00011613041179111062,1201.3439727869998,9.031582880860434,4,-0.6891354791684094,0.0003069223506851647,0.012982985417255278,0.9840867868608697,1501.0,-0.6895287522314156,0.0012487281264820936
13.csv,232052,c460-061,"26, 27, 28, 29, 30",1.0324159016158723,0.00018819520177481455,0.07314244582737371,0.22461585521241237,-0.6899448258882497,0.00013902556452000654,1201.6266459032,2.998605745366409,4,-0.689948309699723,0.0008215225046578475,0.0020289070336861827,0.0033909651284109313,1491.6,-0.6907501914333195,0.0004307120336322984
13.csv,232052,c460-061,"1, 2, 3, 4, 5",2.1720667358115358,0.0002934382383730935,0.040082767954642384,2.8741710351221945,-0.6897160673627005,0.00014937161785153873,1201.2068276818,5.098093083365703,5,-0.6902761457312476,0.0005367324648559921,0.00215693840191268,0.010022772249787672,1505.6,-0.6900442915991715,0.0011752004335619207
13.csv,232052,c460-061,"6, 7, 8, 9, 10",1.2662097511209496,3.0938625373062045,0.016164547590452827,0.5947162579234259,-0.6895972010509962,0.0001626457744881289,1201.238952193,3.8302727899066134,5,-0.689417739624796,0.00015045007145129431,0.002261741918155016,0.027276200650976357,1473.0,-0.6902462437850817,0.0011731225058423727
13.csv,232052,c460-061,"11, 12, 13, 14, 15",3.6859934196379567,0.8530334498425255,0.018994774014681973,0.423440669540614,-0.6893265127285276,0.00015744544047494006,1201.4388546848,7.762682806689959,5,-0.6890666277050075,0.00015776048923214455,0.00979460867213283,0.6105433430693745,1546.6,-0.689530434084348,0.0012206824422395313
13.csv,232052,c460-061,"16, 17, 18, 19, 20",1.4099648457342289,0.5034815579065676,0.06186388843263957,1.4059393815429302,-0.6897662226939103,0.00013976026422422781,1189.6334626606,4.778801543599088,5,-0.6895496184280291,0.00019646464474290876,0.0016128278956751862,0.0018480040512964125,1514.2,-0.6906133011871086,0.0008067383311704403
13.csv,232052,c460-061,"21, 22, 23, 24, 25",0.0141907098657729,5.355603783477996,3.6260685366797127,0.0007150094329094452,-0.6897985708380461,0.00023950671676119131,1201.2439467872002,5.467114802127793,5,-0.6891957243909855,0.00044490128141696996,0.05106475474295399,0.0520996160251298,1468.4,-0.6896342242973845,0.0012786187878686963
13.csv,232052,c460-061,"26, 27, 28, 29, 30",4.700271768076431,0.0005008497949326906,0.03865475623524875,0.16072706067459105,-0.6889190588451097,0.00014376309577825296,1201.625163448,9.212214538477642,5,-0.6894000683673204,0.00023944480723825075,0.017779525188264488,1.3351287132040337,1488.6,-0.6894682285517724,0.0012663824243389307
13.csv,232052,c460-061,"1, 2, 3, 4, 5",4.601112099535062,0.0006427455181315531,0.012007524335336504,0.17141274564009434,-0.6888736163103178,0.00020237465809399562,1201.6743752564,9.212214538477642,6,-0.6888910062053256,0.00022662105402392667,0.030292111498265384,1.61683692004475,1505.0,-0.6894599442889607,0.0012633192121582796
13.csv,232052,c460-061,"6, 7, 8, 9, 10",3.546613975167417,0.00024267347810536273,0.022618650152222246,0.04977391381027122,-0.6892009464011604,8.062276037641917e-5,1201.5206698280003,7.46411808335573,6,-0.6889833427237135,0.00015834671046677804,0.019969291659326947,1.0859150550192063,1497.6,-0.6895135652279091,0.001179263783654891
13.csv,232052,c460-061,"11, 12, 13, 14, 15",4.786422360559256,2.6137352221268624,0.03471899420370718,0.010634834380903424,-0.6887245481845846,0.00015657080742236768,1201.4974223158,9.754109511329272,6,-0.6894089319572707,0.00034386536077494654,0.01885176615847103,1.9363805470980917,1522.8,-0.6895580565527573,0.0012771086208531973
13.csv,232052,c460-061,"16, 17, 18, 19, 20",1.1278299307947341,0.00013561576608750665,0.015124551677444436,0.005607528338995975,-0.6899427818530995,0.0002390544850468352,1201.9225573682002,3.1655147024021595,6,-0.6894795991214521,0.0002551592510726475,0.016972698050575285,0.17070266845052273,1501.2,-0.6906636786558216,0.0004314014176966182
13.csv,232052,c460-061,"21, 22, 23, 24, 25",2.1691875598879,1.6966130198676397,0.013079621742958163,0.08013714054798099,-0.6895371926740848,0.00018792775864114335,1201.388613311,5.098093083365703,6,-0.6893515548451365,0.0002596773719359045,0.009848781478051115,0.39689219150942157,1495.2,-0.6901773253462336,0.001044511818031446
13.csv,232052,c460-061,"26, 27, 28, 29, 30",4.489300424589718,0.6377069781470648,0.01688034652708225,0.11372718546009565,-0.6888665954166427,0.00017710128384884892,1201.4069728598,9.031582880860434,6,-0.689074334349543,0.00020600947180247507,0.023185848667781797,1.6636850501887128,1476.2,-0.6894377304775915,0.0012626112483313022
13.csv,232052,c460-061,"1, 2, 3, 4, 5",4.323706003588591,0.00014944534575004107,0.018806465216676532,0.07253022877066423,-0.6889707846626683,0.00015935441147424327,1201.4027688024,9.031582880860434,7,-0.6890860603626476,0.00014959287940177402,0.020810804195822343,1.508468074736037,1564.4,-0.6894381757428261,0.0012517020586962457
13.csv,232052,c460-061,"6, 7, 8, 9, 10",4.538452887856249,0.6808671142827687,0.06359717293787936,3.1394983644238126,-0.6895339342583726,0.00012253487670162483,1201.0550152218,8.210529891691303,7,-0.6895733219587645,0.00023064310737783082,0.004632462782119876,0.2339748965813222,1468.8,-0.6896270371924981,0.0012769340633069968
13.csv,232052,c460-061,"11, 12, 13, 14, 15",3.3844688041255386,0.9820214193793241,0.029016864213242458,0.34338771556142755,-0.6893305249606473,0.00010236735371488069,1201.5190789346,7.46411808335573,7,-0.689219480059112,8.236029628872217e-5,0.009534609104312886,0.5900349610478827,1474.2,-0.6895924414388889,0.0011926456953827113
13.csv,232052,c460-061,"16, 17, 18, 19, 20",2.6221691803799994,0.4342931213568003,0.02590756216349841,0.35829650160280807,-0.6895672771546589,0.00013752756085990051,1201.6035459002,5.607902391702274,7,-0.689287934589419,7.978932319645978e-5,0.006362321016258543,0.20697485942787702,1469.0,-0.6899917920618683,0.0010113788282786682
13.csv,232052,c460-061,"21, 22, 23, 24, 25",0.03214038939972392,0.00011832525167742429,1.2424854511665375,1.234226358141227,-0.6951536896953908,0.00019417552905335287,1201.0717814424,1.2204429511016728,7,-0.6906900394561539,0.0007666730210070254,0.03707253436163823,0.30764305142636744,1413.4,-0.6907439733014437,0.0007662360449547367
13.csv,232052,c460-061,"26, 27, 28, 29, 30",2.8608132200787675,1.1414790410928897,0.021256815934166964,0.11036679727734855,-0.6894292401972504,0.00017146992751823013,1201.3197376632002,6.168692630872503,7,-0.6891782006414954,8.283536552354676e-5,0.011108427613795475,0.5422157052024769,1472.6,-0.6897598938085745,0.0011170827591992878
13.csv,232052,c460-061,"1, 2, 3, 4, 5",5.319416520696227,0.004395802331329352,0.01373605427321839,0.09519837993254596,-0.6886006836435513,0.0002488497006229743,1201.1107192658,9.934741168946479,8,-0.688859693924875,0.0002666625240890878,0.04003266399497586,2.1803113485908354,1451.0,-0.689508169346479,0.0012757138375478984
13.csv,232052,c460-061,"6, 7, 8, 9, 10",3.7787029421977247,2.255147416516694,0.012865257244143537,0.036684397827509686,-0.6891151475643477,0.00015415574885837617,1201.3232464618,8.210529891691303,8,-0.6890168102732376,0.00015494290028680144,0.015991976660959948,1.38362169741955,1532.2,-0.689548697008785,0.0012602692507820638
13.csv,232052,c460-061,"11, 12, 13, 14, 15",4.048917888423522,5.053332018647873,0.020641777263453648,0.027124887718532026,-0.6889726348786096,0.0002462481763612034,1201.3724207144,7.341977969264454,8,-0.6889552858961786,0.00022007637300650222,0.01691807500896444,1.5436963194109503,1516.2,-0.6896171880873813,0.0012786182016247295
13.csv,232052,c460-061,"16, 17, 18, 19, 20",5.611249231736318,0.005848233523275069,0.010703109823690174,0.9986658280487276,-0.688817542531012,0.00020764815096302623,1201.3884211322,9.573477853712062,8,-0.6890700946934524,0.00027791695058002286,0.03273444527020794,1.3839375492814352,1441.4,-0.6895708646504339,0.0012776244285097743
13.csv,232052,c460-061,"21, 22, 23, 24, 25",4.978435700002896,0.00025803701390948914,0.02206085985596537,0.07575451552467169,-0.6886306307043804,0.0001414463464331418,1201.259910841,9.934741168946479,8,-0.6889209559800223,0.00010271029197217586,0.030949818643658727,2.102561159719485,1461.8,-0.689477229836036,0.0012719056621504888
13.csv,232052,c460-061,"26, 27, 28, 29, 30",4.129087474340134,0.00223968265262511,0.013129976465730327,0.4110028796847489,-0.6889835362197009,0.00010486508081049673,1201.4053652256002,9.031582880860434,8,-0.6890051425803667,0.0001972537785712517,0.01913016373829484,1.2510270672702262,1497.8,-0.6895039248411985,0.0012421144972538174
13.csv,232052,c460-061,"1, 2, 3, 4, 5",0.010093516401167632,0.060163686481056425,0.012971277982219196,2.247642995544695,-0.6976403569575084,0.0001875274319582987,1201.2829867533999,0.47053358992882366,9,-0.6909848746456257,0.0006486786622670351,0.023523638875452054,0.09875122954798489,1461.4,-0.6897302025975182,0.0008309048052889139
13.csv,232052,c460-061,"6, 7, 8, 9, 10",3.5652729188967447,0.00013816738314303566,0.044665023869128684,0.01977432530513948,-0.6892958836376761,0.00011440030437996504,1201.3608729971997,7.46411808335573,9,-0.6892503654326144,0.00017808680275284663,0.014162808479760921,0.740613610256639,1517.6,-0.6895096314340211,0.0011826637419706438
13.csv,232052,c460-061,"11, 12, 13, 14, 15",3.4956803233747187,0.28014730305291485,0.012607764749424228,0.040075216404123815,-0.6892163466801933,0.00015811085364724744,1201.4412741820001,7.46411808335573,9,-0.6891759236921812,0.00020042443618120603,0.025773463588333843,1.254869708665567,1495.6,-0.6894975703817463,0.001177109304967888
13.csv,232052,c460-061,"16, 17, 18, 19, 20",3.7602344097978384,0.0004786741692089463,0.02586773608796876,0.493804617148898,-0.6891698779198667,0.0001573164116895889,1201.4466789530002,8.210529891691303,9,-0.6890338325908117,0.00011481880407861317,0.013702922385831099,0.8673298552657694,1438.4,-0.6895786284815743,0.0012121494810967835
13.csv,232052,c460-061,"21, 22, 23, 24, 25",4.8843774238584565,0.09326414298004337,0.027534016000411873,1.5319834506587735,-0.6891635084043861,0.00014966373016259295,1201.195495299,9.031582880860434,9,-0.6892532333537589,0.00014596778095743925,0.013592519360778396,0.7413343651845227,1459.4,-0.6895876290719054,0.0012737786739339056
13.csv,232052,c460-061,"26, 27, 28, 29, 30",1.8544917374773124,0.00010066064228764127,0.027809380708278604,0.00015284304663037762,-0.6896042158372525,0.00021946085298676533,1201.4069994818,4.634630075787003,9,-0.6896944718640691,0.00023776744044102065,0.01641364016876572,0.3102275137000622,1468.6,-0.6904029910951415,0.0007027393432644321
13.csv,232052,c460-061,"1, 2, 3, 4, 5",0.21468469374959792,3.00106917013253,0.6458301434134305,0.3483359565191083,-0.6897560145767438,0.00014598915547800107,1200.9966278966,4.144355158678955,10,-0.689601706592307,0.0003830810542647834,0.002750187763926958,0.001833309021231897,1453.0,-0.6904766963781391,0.0011102977402893364
13.csv,232052,c460-061,"6, 7, 8, 9, 10",4.129539061630648,0.00016803470052084013,0.010821040074672734,0.12547464328453642,-0.6889609341443534,0.0001772232107344131,1201.4108809336,9.031582880860434,10,-0.6889517659264189,0.0002125919084798444,0.023917369670394355,1.5590209190230948,1538.2,-0.689448838349179,0.0012401866136221018
13.csv,232052,c460-061,"11, 12, 13, 14, 15",0.4741534792294655,3.759402601614903,0.3050037349662841,2.2057230835634996,-0.689753397717571,0.00013820734576805053,1201.4570745229998,4.651483276062592,10,-0.6892279749471469,0.00045782233959276497,0.0064127735289775094,0.004936014154267511,1476.2,-0.6898890626044506,0.0012585428446751914
13.csv,232052,c460-061,"16, 17, 18, 19, 20",5.274092917510831,0.001386734199478976,0.02272533788772658,1.8223659988550451,-0.6892196478790057,0.00016829080799166506,1201.364723392,8.867372283026608,10,-0.6891115085237589,0.00021647851278522553,0.01844584170201388,0.6444190971643118,1492.6,-0.6895975120401799,0.0012770926026710642
13.csv,232052,c460-061,"21, 22, 23, 24, 25",1.6236365766124157,0.05720321220532034,2.5271583894864618,2.3262813920179166,-0.6909246431139879,7.36989703042247e-5,852.7398558578001,6.303282288273357,10,-0.6902814135448312,0.000729208991011955,0.0003071173529260433,0.0009782425388031857,1081.4,-0.6901147925611699,0.0012409238041814178
13.csv,232052,c460-061,"26, 27, 28, 29, 30",2.0546635655621173,3.3973309608363333,0.04200000894575729,0.002694160760090849,-0.6895033317138514,0.0001476645747505194,1201.3323424395999,5.098093083365703,10,-0.6894475192473177,0.0002764193821751382,0.005268660037405776,0.1952431212910311,1516.6,-0.6899519411015679,0.0012340696369607805
13.csv,232052,c460-061,"1, 2, 3, 4, 5",3.41822419977125,0.20415844676044503,0.027383887041199394,0.6303734877323551,-0.6893671001924434,0.00015220428156577115,1201.188843354,7.46411808335573,11,-0.689189639957528,0.00010517414564749319,0.008285235320183193,0.5168084970034408,1444.8,-0.6896842608782275,0.0011755234643713501
13.csv,232052,c460-061,"6, 7, 8, 9, 10",4.536159369949704,0.014242535041872215,0.08982483220806471,0.28098624724583793,-0.6892954146500674,0.00012163425021531531,1201.4632199116,9.031582880860434,11,-0.689082107838576,0.0002074156719727857,0.009381317756529287,0.5780621338225364,1463.0,-0.6894855557685046,0.0012622627704376589
