slambdasl1,slambdasl2,tlambdasl1,tlambdasl2,pred,band,tested
0.001,0.001,0.001,0.001,-0.042395846306960604,9.999504927619942e-6,true
0.001,0.001,0.001,0.5,-0.04169291943321068,9.663631144346512e-5,false
0.001,0.001,0.001,1.0,-0.04196346993894481,9.137021859318972e-5,false
0.001,0.001,0.001,2.5,-0.04241306307486923,7.633228600671175e-5,false
0.001,0.001,0.001,5.0,-0.04275040074308962,5.7071067871822504e-5,false
0.001,0.001,0.001,10.0,-0.043003868239306436,3.172503141569069e-5,false
0.001,0.001,0.001,20.0,-0.04310803355788959,9.998983948722113e-6,true
0.001,0.001,0.25,0.001,-0.04172130436960272,9.128592743637369e-5,false
0.001,0.001,0.25,0.5,-0.042838331301920246,7.0352356234244e-5,false
0.001,0.001,0.25,1.0,-0.042711200343878694,5.468595431633619e-5,false
0.001,0.001,0.25,2.5,-0.042279912237612106,3.499077342838592e-5,false
0.001,0.001,0.25,5.0,-0.04206995622056766,2.420967629810114e-5,false
0.001,0.001,0.25,10.0,-0.04224221122873867,1.552253099833253e-5,false
0.001,0.001,0.25,20.0,-0.042853278527551567,8.963820098188366e-6,true
0.001,0.001,0.5,0.001,-0.0419185888441102,8.103800349309345e-5,false
0.001,0.001,0.5,0.5,-0.043038283534208736,6.291387793640157e-5,false
0.001,0.001,0.5,1.0,-0.04286049681590748,4.4704750193662404e-5,false
0.001,0.001,0.5,2.5,-0.0422123923305152,2.2349959146549337e-5,false
0.001,0.001,0.5,5.0,-0.041756596671871926,1.219409807732045e-5,false
0.001,0.001,0.5,10.0,-0.04169073472486404,7.939638969247814e-6,false
0.001,0.001,0.5,20.0,-0.04215167552655283,5.707096579472894e-6,true
0.001,0.001,0.75,0.001,-0.04204649622841471,7.196389043469146e-5,false
0.001,0.001,0.75,0.5,-0.04311036082895022,5.921415323885169e-5,false
0.001,0.001,0.75,1.0,-0.04293489882039523,4.048432207778046e-5,false
0.001,0.001,0.75,2.5,-0.04221040566239011,1.788319469006959e-5,false
0.001,0.001,0.75,5.0,-0.04163068863961088,7.738363194503355e-6,true
0.001,0.001,0.75,10.0,-0.04141242103582875,5.57046601669865e-6,true
0.001,0.001,0.75,20.0,-0.04173914004990739,5.557143270308493e-6,true
0.001,0.001,1.25,0.001,-0.04219961689042702,5.7086892368726156e-5,false
0.001,0.001,1.25,0.5,-0.043138799747210216,5.4867271939513166e-5,false
0.001,0.001,1.25,1.0,-0.04300243312919679,3.6217937238268856e-5,false
0.001,0.001,1.25,2.5,-0.042250853580083174,1.5238886878008987e-5,false
0.001,0.001,1.25,5.0,-0.04155683253304183,6.429365879971052e-6,true
0.001,0.001,1.25,10.0,-0.04115566757030081,4.954970318534421e-6,true
0.001,0.001,1.25,20.0,-0.04128232285670104,5.69387098637549e-6,true
0.001,0.001,2.5,0.001,-0.04235506650753875,3.173304780208368e-5,false
0.001,0.001,2.5,0.5,-0.04305727498342269,4.91040820091201e-5,false
0.001,0.001,2.5,1.0,-0.04302799597934851,3.04390865301715e-5,false
0.001,0.001,2.5,2.5,-0.04236640296575089,1.236247094825626e-5,false
0.001,0.001,2.5,5.0,-0.04161605529844605,6.8715449959679275e-6,false
0.001,0.001,2.5,10.0,-0.04102384746118958,5.503642136752168e-6,true
0.001,0.001,2.5,20.0,-0.040870141528097835,6.081017028567043e-6,true
0.001,0.001,5.0,0.001,-0.04241012886706,9.999503356231303e-6,true
0.001,0.001,5.0,0.5,-0.04285316013349723,4.56053902241153e-5,false
0.001,0.001,5.0,1.0,-0.04296209430599646,2.6248378622915572e-5,false
0.001,0.001,5.0,2.5,-0.042504251410571826,9.006690257955518e-6,true
0.001,0.001,5.0,5.0,-0.0418159803825064,6.531736672585343e-6,true
0.001,0.001,5.0,10.0,-0.04113722154240473,6.439683564181456e-6,true
0.001,0.001,5.0,20.0,-0.04075680733330464,8.145917959866683e-6,true
0.001,0.5,0.001,0.001,-0.041445644763742386,9.664682803212463e-5,false
0.001,0.5,0.001,0.5,-0.042665285521812445,9.999286930167013e-6,true
0.001,0.5,0.001,1.0,-0.042635008870758745,3.144628442616854e-5,false
0.001,0.5,0.001,2.5,-0.042435684025591294,6.298880159279878e-5,false
0.001,0.5,0.001,5.0,-0.042216958654023785,7.91877101035575e-5,false
0.001,0.5,0.001,10.0,-0.04198888983652694,8.876885884124195e-5,false
0.001,0.5,0.001,20.0,-0.04178200655658288,9.366676053059467e-5,false
0.001,0.5,0.25,0.001,-0.041358734946260134,9.933363509432638e-5,false
0.001,0.5,0.25,0.5,-0.04190383170710009,9.125287643936904e-5,false
0.001,0.5,0.25,1.0,-0.041892282202019376,9.20559765824195e-5,false
0.001,0.5,0.25,2.5,-0.04179621420204216,9.471628043213176e-5,false
0.001,0.5,0.25,5.0,-0.04169163482160164,9.672083878651963e-5,false
0.001,0.5,0.25,10.0,-0.04158752400648873,9.809784997367726e-5,false
0.001,0.5,0.25,20.0,-0.04149951717941069,9.886304064109374e-5,false
0.001,0.5,0.5,0.001,-0.0414069516003877,9.875108771284529e-5,false
0.001,0.5,0.5,0.5,-0.04215166879333133,8.10088419218096e-5,false
0.001,0.5,0.5,1.0,-0.04213416778065484,8.287318832974193e-5,false
0.001,0.5,0.5,2.5,-0.04200139492194908,8.885245236037291e-5,false
0.001,0.5,0.5,5.0,-0.04185627421384108,9.320893520507766e-5,false
0.001,0.5,0.5,10.0,-0.04171019456593641,9.613671227073437e-5,false
0.001,0.5,0.5,20.0,-0.041585511032779174,9.773573378736175e-5,false
0.001,0.5,0.75,0.001,-0.04143542141273141,9.829606959691846e-5,false
0.001,0.5,0.75,0.5,-0.0423102767078354,7.19392978268925e-5,false
0.001,0.5,0.75,1.0,-0.04228919921514031,7.48703196256604e-5,false
0.001,0.5,0.75,2.5,-0.04213333135614366,8.396268330037221e-5,false
0.001,0.5,0.75,5.0,-0.041962304454680355,9.036270283403843e-5,false
0.001,0.5,0.75,10.0,-0.041788904090177895,9.457874349990864e-5,false
0.001,0.5,0.75,20.0,-0.04163976587336546,9.685222679880408e-5,false
0.001,0.5,1.25,0.001,-0.041466946473274695,9.766526605641612e-5,false
0.001,0.5,1.25,0.5,-0.04249826039060112,5.706939053269737e-5,false
0.001,0.5,1.25,1.0,-0.04247321376515624,6.212893736155602e-5,false
0.001,0.5,1.25,2.5,-0.04229039614125837,7.669461105412416e-5,false
0.001,0.5,1.25,5.0,-0.042088687535137795,8.62811492848348e-5,false
0.001,0.5,1.25,10.0,-0.04188239529941792,9.239174781338971e-5,false
0.001,0.5,1.25,20.0,-0.04170322603954354,9.562740130244991e-5,false
0.001,0.5,2.5,0.001,-0.04149408438451731,9.69226016795776e-5,false
0.001,0.5,2.5,0.5,-0.04268570268772963,3.172544190193672e-5,false
0.001,0.5,2.5,1.0,-0.04265720968528605,4.257472091733181e-5,false
0.001,0.5,2.5,2.5,-0.04244827152942666,6.718327614804605e-5,false
0.001,0.5,2.5,5.0,-0.04221593553031396,8.124614256010549e-5,false
0.001,0.5,2.5,10.0,-0.04197578686829827,8.97746019383454e-5,false
0.001,0.5,2.5,20.0,-0.04176461467709144,9.418582682376621e-5,false
0.001,0.5,5.0,0.001,-0.041495319871515404,9.663031472791173e-5,false
0.001,0.5,5.0,0.5,-0.0427467954619707,9.999261457038613e-6,true
0.001,0.5,5.0,1.0,-0.0427179002427942,3.143674272303805e-5,false
0.001,0.5,5.0,2.5,-0.042501403241600066,6.296019734711439e-5,false
0.001,0.5,5.0,5.0,-0.04225879145535081,7.91454075585043e-5,false
0.001,0.5,5.0,10.0,-0.04200569649263418,8.871916400095171e-5,false
0.001,0.5,5.0,20.0,-0.041780669953369896,9.361852511081912e-5,false
0.001,1.0,0.001,0.001,-0.04157691566921257,9.138506698239143e-5,false
0.001,1.0,0.001,0.5,-0.04262881842599677,3.144628432605397e-5,false
0.001,1.0,0.001,1.0,-0.04261730273637701,4.1437555489456696e-5,false
0.001,1.0,0.001,2.5,-0.04245698495678487,6.462545345716017e-5,false
0.001,1.0,0.001,5.0,-0.04227054731650479,7.740505585955001e-5,false
0.001,1.0,0.001,10.0,-0.04206914633883072,8.481723921499963e-5,false
0.001,1.0,0.001,20.0,-0.04187766798210204,8.878398625285153e-5,false
0.001,1.0,0.25,0.001,-0.04141982619744601,9.850318937824842e-5,false
0.001,1.0,0.25,0.5,-0.04186732465558507,9.207846593919334e-5,false
0.001,1.0,0.25,1.0,-0.041867024646401865,9.273338544480588e-5,false
0.001,1.0,0.25,2.5,-0.04179624110689743,9.49213686446043e-5,false
0.001,1.0,0.25,5.0,-0.04171074677686961,9.650053113940939e-5,false
0.001,1.0,0.25,10.0,-0.041618083718569086,9.753234864625466e-5,false
0.001,1.0,0.25,20.0,-0.04153024121188401,9.81265328258734e-5,false
0.001,1.0,0.5,0.001,-0.041490716671456006,9.700977661450748e-5,false
0.001,1.0,0.5,0.5,-0.04210776037423286,8.289705673896622e-5,false
0.001,1.0,0.5,1.0,-0.04210550589376587,8.439566933657376e-5,false
0.001,1.0,0.5,2.5,-0.04200761606190682,8.927860341394904e-5,false
0.001,1.0,0.5,5.0,-0.041890326927027106,9.271161927876319e-5,false
0.001,1.0,0.5,10.0,-0.04176333570770619,9.49169762915753e-5,false
0.001,1.0,0.5,20.0,-0.04164333863604239,9.616761444859944e-5,false
0.001,1.0,0.75,0.001,-0.04153399911932953,9.582414367365022e-5,false
0.001,1.0,0.75,0.5,-0.04226234297576246,7.489290572734252e-5,false
0.001,1.0,0.75,1.0,-0.042258696447973046,7.721292963746027e-5,false
0.001,1.0,0.75,2.5,-0.042143181062897044,8.458414953824221e-5,false
0.001,1.0,0.75,5.0,-0.042005244836308006,8.962940761850874e-5,false
0.001,1.0,0.75,10.0,-0.041855881507127435,9.282007060588448e-5,false
0.001,1.0,0.75,20.0,-0.04171482571032032,9.46098418597488e-5,false
0.001,1.0,1.25,0.001,-0.041583416885265935,9.416156923211462e-5,false
0.001,1.0,1.25,0.5,-0.04244627672275596,6.214744293461054e-5,false
0.001,1.0,1.25,1.0,-0.042440853186444936,6.600531600989547e-5,false
0.001,1.0,1.25,2.5,-0.04230417888698468,7.763065224517494e-5,false
0.001,1.0,1.25,5.0,-0.04214146305861526,8.51913392502987e-5,false
0.001,1.0,1.25,10.0,-0.04196515785006702,8.984935164312847e-5,false
0.001,1.0,1.25,20.0,-0.04179863285673728,9.242181405193938e-5,false
0.001,1.0,2.5,0.001,-0.04162908540193348,9.21752289174665e-5,false
0.001,1.0,2.5,0.5,-0.042631065687593464,4.258301111782191e-5,false
0.001,1.0,2.5,1.0,-0.04262363511680789,4.973913300947905e-5,false
0.001,1.0,2.5,2.5,-0.042465339294786325,6.858896681424085e-5,false
