slambdasl1,slambdasl2,tlambdasl1,tlambdasl2,pred,band,tested
0.001,0.001,0.001,0.001,-0.1141727739396871,9.999504866111469e-6,true
0.001,0.001,0.001,0.5,-0.1122503385017771,9.666660451733949e-5,false
0.001,0.001,0.001,1.0,-0.11286641405629184,9.140234251672932e-5,false
0.001,0.001,0.001,2.5,-0.11389254316136259,7.635930542661994e-5,false
0.001,0.001,0.001,5.0,-0.11465125223666417,5.708958193357797e-5,false
0.001,0.001,0.001,10.0,-0.11520377687128187,3.1733415073218e-5,false
0.001,0.001,0.001,20.0,-0.11540627477453816,9.99950487472359e-6,true
0.001,0.001,0.25,0.001,-0.11208524012729063,9.12655441115671e-5,false
0.001,0.001,0.25,0.5,-0.11134121588244446,9.943730166523126e-5,false
0.001,0.001,0.25,1.0,-0.11147304515055656,9.859213895695202e-5,false
0.001,0.001,0.25,2.5,-0.11169694603506967,9.640872343058179e-5,false
0.001,0.001,0.25,5.0,-0.11186324137755323,9.413517999132537e-5,false
0.001,0.001,0.25,10.0,-0.11198427799970555,9.210093561550594e-5,false
0.001,0.001,0.25,20.0,-0.11202826173548454,9.127266852215269e-5,false
0.001,0.001,0.5,0.001,-0.11237673757028424,8.102121451760988e-5,false
0.001,0.001,0.5,0.5,-0.1114035144891641,9.884897571557257e-5,false
0.001,0.001,0.5,1.0,-0.11156499926317824,9.709433778770043e-5,false
0.001,0.001,0.5,2.5,-0.11184009612698796,9.247507605777021e-5,false
0.001,0.001,0.5,5.0,-0.11204453078763064,8.752062531791864e-5,false
0.001,0.001,0.5,10.0,-0.11219330240113648,8.294125843545968e-5,false
0.001,0.001,0.5,20.0,-0.11224731866655274,8.1027245344513e-5,false
0.001,0.001,0.75,0.001,-0.11257466198600938,7.195039145232417e-5,false
0.001,0.001,0.75,0.5,-0.11144978027635385,9.83841283641982e-5,false
0.001,0.001,0.75,1.0,-0.1116337770830233,9.59005208359536e-5,false
0.001,0.001,0.75,2.5,-0.11194744050342705,8.926101330988906e-5,false
0.001,0.001,0.75,5.0,-0.11218055595043659,8.194645231718278e-5,false
0.001,0.001,0.75,10.0,-0.11235018641702235,7.495829971468358e-5,false
0.001,0.001,0.75,20.0,-0.11241176607655601,7.195533582892393e-5,false
0.001,0.001,1.25,0.001,-0.11281564969128886,5.707790275366797e-5,false
0.001,0.001,1.25,0.5,-0.11150793876893096,9.773753099282153e-5,false
0.001,0.001,1.25,1.0,-0.111720467928106,9.422444779664e-5,false
0.001,0.001,1.25,2.5,-0.1120828849892343,8.461497242464147e-5,false
0.001,0.001,1.25,5.0,-0.11235223337975059,7.354457948471286e-5,false
0.001,0.001,1.25,10.0,-0.11254821404126349,6.225372976606012e-5,false
0.001,0.001,1.25,20.0,-0.1126193543905643,5.708129646788613e-5,false
0.001,0.001,2.5,0.001,-0.11306267006612239,3.1729499156179064e-5,false
0.001,0.001,2.5,0.5,-0.11156890230929142,9.697338914073241e-5,false
0.001,0.001,2.5,1.0,-0.11181157960285691,9.22192276998529e-5,false
0.001,0.001,2.5,2.5,-0.11222541273526261,7.881618020627503e-5,false
0.001,0.001,2.5,5.0,-0.11253294996902888,6.22595368334703e-5,false
0.001,0.001,2.5,10.0,-0.11275669850836598,4.2785627290258756e-5,false
0.001,0.001,2.5,20.0,-0.11283791643377478,3.1730921237505696e-5,false
0.001,0.001,5.0,0.001,-0.11314962882634579,9.999487250977423e-6,true
0.001,0.001,5.0,0.5,-0.11159090484443927,9.666418656710532e-5,false
0.001,0.001,5.0,1.0,-0.11184472150185218,9.139941731603338e-5,false
