fn,pid,host,thread,λsl1,λsl2,λtl1,λtl2,cv_logll,time,alpha,gen,paramid,prev_pred,prev_sd,final_pred,final_sd
split_4-6.csv,18104,CNS-S-GD,1,1.25,0.5,0.25,20.0,-0.1389855015348294,241.18720332375,1.2312473776747532,1,1435,-Inf,0.0,-0.13898598268767728,9.818560752420866e-6
split_4-6.csv,18104,CNS-S-GD,1,0.25,0.5,2.5,2.5,-0.13913501545171733,235.46093878174997,1.2479169898996207,1,431,-Inf,0.0,-0.13913339797160706,9.937827732509452e-6
split_4-6.csv,18104,CNS-S-GD,2,0.01,10.0,0.75,20.0,-0.13913753126494843,241.0860756455,3.7886212204526277,1,273,-Inf,0.0,-0.1391370600660716,9.993774444745768e-6
split_4-6.csv,18104,CNS-S-GD,2,0.5,20.0,0.25,1.0,-0.1390041125665741,241.0557641065,4.600184318012624,1,990,-Inf,0.0,-0.13900391559259176,9.79421643299569e-6
split_4-6.csv,18104,CNS-S-GD,1,1.25,0.01,5.0,0.5,-0.1389756584155305,226.45489858874998,1.6350695648197822,2,1416,-0.13907572698123025,9.923117919214971e-5,-0.13897664890471026,9.777305316790726e-6
split_4-6.csv,18104,CNS-S-GD,1,5.0,2.5,0.01,1.0,-0.13901548446749248,241.01169818925,1.4567062292974016,2,2208,-0.13904792025284396,9.873219842763086e-5,-0.13901540868427467,9.96130626819979e-6
split_4-6.csv,18104,CNS-S-GD,2,5.0,0.01,0.01,0.5,-0.13903241240559636,240.8357796075,0.5,2,2060,-0.13906412143639046,9.99917627686578e-5,-0.13903281986107188,9.965668675589416e-6
split_4-6.csv,18104,CNS-S-GD,2,1.25,5.0,0.25,1.0,-0.1389843259659199,240.984870747,1.4277254104613535,2,1578,-0.1390152100284664,6.246597401829808e-5,-0.1389854249368156,9.488623730645266e-6
split_4-6.csv,18104,CNS-S-GD,1,0.25,0.5,0.5,0.01,-0.1392931560808889,240.86032355525,1.3560919883809175,3,407,-0.13903354492900202,9.979415070982736e-5,-0.1392919872386652,9.953232375499796e-6
split_4-6.csv,18104,CNS-S-GD,1,0.01,10.0,5.0,0.01,-0.13912609529525072,240.82478714725,5.0,3,288,-0.13903460722226021,9.999671256847408e-5,-0.1391269814144161,9.986636390672758e-6
split_4-6.csv,18104,CNS-S-GD,2,5.0,0.01,0.01,0.01,-0.13909105940063926,241.0952436535,0.5,3,2059,-0.13903365026054157,9.765712133005695e-5,-0.1390910064798033,9.990169909598033e-6
