slambdasl1,slambdasl2,tlambdasl1,tlambdasl2,pred,band,tested
0.001,0.001,0.001,0.001,-0.11369317409431563,9.999504886680665e-6,true
0.001,0.001,0.001,0.5,-0.11000378791283949,9.666388748090583e-5,false
0.001,0.001,0.001,1.0,-0.1105521561599678,9.13999411309603e-5,false
0.001,0.001,0.001,2.5,-0.1114940899515879,7.635775932759966e-5,false
0.001,0.001,0.001,5.0,-0.11219671345923364,5.708871781583711e-5,false
0.001,0.001,0.001,10.0,-0.11270957991067335,3.173309733772843e-5,false
0.001,0.001,0.001,20.0,-0.11289771678931071,9.999482450447423e-6,true
0.001,0.001,0.25,0.001,-0.10990085728339377,9.128542651013201e-5,false
0.001,0.001,0.25,0.5,-0.10913100142603113,9.941831677643874e-5,false
0.001,0.001,0.25,1.0,-0.10925729785643933,9.856399071826234e-5,false
0.001,0.001,0.25,2.5,-0.10947162477105829,9.63764790966811e-5,false
0.001,0.001,0.25,5.0,-0.10963018715318121,9.41085195567478e-5,false
0.001,0.001,0.25,10.0,-0.10974487658932336,9.208436191609914e-5,false
0.001,0.001,0.25,20.0,-0.10978555796737081,9.126553805829924e-5,false
0.001,0.001,0.5,0.001,-0.11012913091754357,8.103745336320931e-5,false
0.001,0.001,0.5,0.5,-0.10919002294817079,9.883167300883498e-5,false
0.001,0.001,0.5,1.0,-0.10934544913594652,9.706893729502146e-5,false
0.001,0.001,0.5,2.5,-0.109609420842116,9.244576919838335e-5,false
0.001,0.001,0.5,5.0,-0.10980492817495499,8.749601638275777e-5,false
0.001,0.001,0.5,10.0,-0.10994656392645831,8.292582672426704e-5,false
0.001,0.001,0.5,20.0,-0.10999712237159466,8.10208226709998e-5,false
0.001,0.001,0.75,0.001,-0.11030263735140605,7.196337241155196e-5,false
0.001,0.001,0.75,0.5,-0.10923377801979792,9.8369086831297e-5,false
0.001,0.001,0.75,1.0,-0.10941077458641767,9.587875727923698e-5,false
0.001,0.001,0.75,2.5,-0.10971162713511817,8.923587985695321e-5,false
0.001,0.001,0.75,5.0,-0.10993463588465245,8.192507765511004e-5,false
0.001,0.001,0.75,10.0,-0.11009637231518413,7.494476723740962e-5,false
0.001,0.001,0.75,20.0,-0.11015435328924543,7.194990967865162e-5,false
0.001,0.001,1.25,0.001,-0.11052242924579371,5.7086477136505594e-5,false
0.001,0.001,1.25,0.5,-0.10928862839047872,9.772590679615985e-5,false
0.001,0.001,1.25,1.0,-0.10949269220671762,9.420826017067042e-5,false
0.001,0.001,1.25,2.5,-0.10983990488739499,8.459653849338552e-5,false
0.001,0.001,1.25,5.0,-0.11009752736501824,7.352864861406371e-5,false
0.001,0.001,1.25,10.0,-0.11028459948431116,6.224341447979502e-5,false
0.001,0.001,1.25,20.0,-0.11035198525384457,5.707746667866691e-5,false
0.001,0.001,2.5,0.001,-0.11075411767496196,3.173284090230787e-5,false
0.001,0.001,2.5,0.5,-0.10934573265409325,9.696605210300917e-5,false
0.001,0.001,2.5,1.0,-0.10957809212351535,9.221018140321313e-5,false
0.001,0.001,2.5,2.5,-0.10997390087681141,7.880687553135165e-5,false
0.001,0.001,2.5,5.0,-0.11026788712339651,6.225167186440946e-5,false
0.001,0.001,2.5,10.0,-0.11048164739059237,4.278029906347857e-5,false
0.001,0.001,2.5,20.0,-0.11055903787865833,3.172930146392708e-5,false
0.001,0.001,5.0,0.001,-0.11083855307042256,9.999434799610433e-6,true
0.001,0.001,5.0,0.5,-0.10936560981889334,9.665977323485398e-5,false
0.001,0.001,5.0,1.0,-0.10960807215854165,9.139518595585114e-5,false
0.001,0.001,5.0,2.5,-0.11002144195374931,7.635350850175114e-5,false
0.001,0.001,5.0,5.0,-0.11032870497576892,5.708577234876195e-5,false
0.001,0.001,5.0,10.0,-0.11055233284680434,3.1731747568613395e-5,false
0.001,0.001,5.0,20.0,-0.11063359262417904,9.999498629840624e-6,true
0.001,0.5,0.001,0.001,-0.10907301558149186,9.655523823278507e-5,false
0.001,0.5,0.001,0.5,-0.10905864428274192,9.374376492890044e-5,false
0.001,0.5,0.001,1.0,-0.10915201512652145,8.928496648061016e-5,false
0.001,0.5,0.001,2.5,-0.1093011492759494,7.66490981324196e-5,false
0.001,0.5,0.001,5.0,-0.10940912782032969,6.037148468276521e-5,false
0.001,0.5,0.001,10.0,-0.10948615735766831,4.043173548973863e-5,false
0.001,0.5,0.001,20.0,-0.10951198285130093,2.8482322525459495e-5,false
0.001,0.5,0.25,0.001,-0.10921776457832424,6.549994269825979e-5,false
0.001,0.5,0.25,0.5,-0.1091112493611497,8.749156136207852e-5,false
0.001,0.5,0.25,1.0,-0.10920112621491852,8.060894072484596e-5,false
0.001,0.5,0.25,2.5,-0.10931959566360887,6.774534799622275e-5,false
0.001,0.5,0.25,5.0,-0.1093824455464116,5.729331267909335e-5,false
0.001,0.5,0.25,10.0,-0.10940312312557049,5.23774714388436e-5,false
0.001,0.5,0.25,20.0,-0.10937531400558127,5.7944779360996725e-5,false
0.001,0.5,0.5,0.001,-0.10923061559608226,6.218148914327655e-5,false
