fn,pid,host,thread,λsl1,λsl2,λtl1,λtl2,cv_logll,time,alpha,gen,paramid,prev_pred,prev_sd,final_pred,final_sd
22.csv,115964,c479-052,3,5.0,10.0,5.0,10.0,-0.10876715179145498,68.6419572438,1.5616495459112731,8,2351,-0.108815439268453,4.2801095927050136e-5,-0.10876481018910004,6.1821722915120215e-6
22.csv,115964,c479-052,4,2.5,0.001,2.5,0.001,-0.10876165344130088,300.28445438999995,0.8169387056035686,8,1751,-0.10874836899565365,6.652931056377049e-6,-0.10880411846386898,6.408025614674325e-6
22.csv,115964,c479-052,1,5.0,0.001,2.5,0.001,-0.1086092611090539,300.16198619939996,1.0954022312014167,9,2094,-0.10864809602291554,6.8948078127613e-6,-0.10879329381868794,6.726387298414568e-6
22.csv,115964,c479-052,2,5.0,0.001,1.25,0.001,-0.10880520448810864,300.16398018639995,1.0024594354411775,9,2087,-0.10869781911146513,6.339222591427681e-6,-0.10879971123744735,6.241927776163864e-6
22.csv,115964,c479-052,3,2.5,0.001,2.5,0.001,-0.10871806567437477,300.148398267,0.9336601356292877,9,1751,-0.10873987904221148,6.652931056317369e-6,-0.10880411846386898,6.408025614674325e-6
22.csv,115964,c479-052,4,5.0,20.0,2.5,10.0,-0.10876702314050606,82.5855369548,1.9694964358280447,9,2393,-0.1087882273369325,3.740037000330162e-5,-0.10876771958415543,6.923532045007108e-6
22.csv,115964,c479-052,1,2.5,5.0,5.0,0.001,-0.10875327606687417,300.2649397876,0.1,10,1954,-0.1088365256492264,6.223120471790197e-5,-0.10876014167088316,5.768707937357216e-6
22.csv,115964,c479-052,2,5.0,0.001,2.5,0.001,-0.10872536563338887,300.1785614818,0.9067800160830322,10,2094,-0.10872147337370128,6.89480781276118e-6,-0.10879329381868794,6.726387298414568e-6
22.csv,115964,c479-052,3,2.5,20.0,5.0,0.001,-0.1087528577146204,300.2648994488,0.1,10,2052,-0.1087726724982128,3.163136305779372e-5,-0.10875608577722883,7.568498490411352e-6
22.csv,115964,c479-052,4,2.5,10.0,5.0,0.001,-0.10876820789350937,281.86133222859996,0.43316473458651145,10,2003,-0.10878981045845408,4.272176629530295e-5,-0.10875969323134675,5.750561060339437e-6
22.csv,115964,c479-052,1,0.5,0.001,5.0,0.001,-0.10880827965945598,300.21552582019996,0.8027602937868143,11,729,-0.10883772704919088,4.589802494092671e-5,-0.10881013345832995,9.817063829000083e-6
22.csv,115964,c479-052,2,5.0,10.0,5.0,0.001,-0.10875304112023473,299.53391101340003,0.38906567099540224,11,2346,-0.10874834863553132,1.4887244506094133e-5,-0.10875597359477415,6.423406851809431e-6
22.csv,115964,c479-052,3,5.0,10.0,2.5,0.001,-0.10876822790601212,278.1738709338,0.4681853847060715,11,2339,-0.10874752679189723,1.7472966798672035e-5,-0.10876275734576998,6.3934065801875375e-6
22.csv,115964,c479-052,4,2.5,10.0,2.5,0.001,-0.10876832801035412,277.2020214962,0.4772816652180021,11,1996,-0.10875308685880605,1.8163223465018644e-5,-0.10876816717778838,6.358839411782951e-6
22.csv,115964,c479-052,1,5.0,10.0,0.001,20.0,-0.10878430792175874,300.138528152,4.609240454894622,12,2310,-0.10880047167017573,3.174919875111402e-5,-0.1087827304482507,7.808894138245214e-6
22.csv,115964,c479-052,2,1.25,0.5,0.25,0.5,-0.10879067157778473,101.5151300492,1.497616329506125,12,1430,-0.10905495079639638,9.957725523877929e-5,-0.10879241849670962,9.569279325657967e-6
22.csv,115964,c479-052,3,5.0,20.0,5.0,10.0,-0.10876744340834074,72.1131372652,1.5839019774425096,12,2400,-0.10876319652312119,1.899539389133133e-5,-0.1087674503225564,6.516505552695891e-6
22.csv,115964,c479-052,4,2.5,0.001,2.5,0.001,-0.1086872760342762,300.236006669,0.5879436048999812,12,1751,-0.10875396909607415,6.4858578480915046e-6,-0.10880411846386898,6.408025614674325e-6
22.csv,115964,c479-052,1,0.75,10.0,0.001,20.0,-0.10881387775946612,300.140403959,4.915997304358986,13,1281,-0.10886186382289868,7.19438461811316e-5,-0.10881508702576356,9.869050056253584e-6
22.csv,115964,c479-052,2,2.5,10.0,1.25,10.0,-0.10876706220190768,75.7650255126,1.173625035188417,13,1994,-0.10879414489675529,4.158915449675781e-5,-0.10876822015114587,6.661701398495738e-6
22.csv,115964,c479-052,3,1.25,2.5,0.25,1.0,-0.10878186777696189,106.46599213719999,1.013116312665668,13,1529,-0.10882785476885,6.458857820375806e-5,-0.10878243529592886,8.278367530304148e-6
22.csv,115964,c479-052,4,2.5,5.0,0.25,2.5,-0.10876740210647642,89.79304734659999,0.492114121314296,13,1922,-0.10885557444478218,7.58730568234308e-5,-0.10876804700108667,7.260729824488656e-6
22.csv,115964,c479-052,1,5.0,10.0,0.25,20.0,-0.10876751580814452,95.23873360259999,1.5826062539324994,14,2317,-0.10883331668706976,5.837887475039167e-5,-0.10876671226897826,7.727022089945208e-6
22.csv,115964,c479-052,2,5.0,5.0,0.25,20.0,-0.10876748515427323,109.39416593180002,1.0298317496276224,14,2268,-0.10883253494248969,6.131879002147432e-5,-0.10876838967338895,7.975008887746012e-6
22.csv,115964,c479-052,3,2.5,0.001,2.5,0.001,-0.10883132976013599,300.1320685224,1.8724519669381934,14,1751,-0.10874235019549884,6.485857839833418e-6,-0.10880411846386898,6.408025614674325e-6
22.csv,115964,c479-052,4,0.75,1.0,5.0,2.5,-0.10877132870899872,82.1688546448,0.7324172709931667,14,1173,-0.10889863695572576,8.253271948813162e-5,-0.10877057651239337,7.266614595485481e-6
22.csv,115964,c479-052,1,1.25,10.0,0.25,10.0,-0.10877284327149048,129.209507484,1.5649428977826507,15,1630,-0.10879920943175425,4.170056908623024e-5,-0.10877695146370746,8.402817075124138e-6
22.csv,115964,c479-052,2,2.5,1.0,0.75,2.5,-0.10876618202476501,60.937957628599996,0.8656284464355369,15,1838,-0.1087498896719666,4.726825185174161e-5,-0.10876983098763864,6.488133869026658e-6
22.csv,115964,c479-052,3,0.75,1.0,0.5,2.5,-0.10883031529573546,77.8915649744,1.342599491890842,15,1145,-0.10876349336154888,4.669279279730068e-5,-0.10882750777782332,8.967298937330743e-6
22.csv,115964,c479-052,4,5.0,1.0,5.0,0.001,-0.10876158666693418,300.1658099638,0.1,15,2199,-0.10881611945453386,5.284141097928613e-5,-0.10876408019016208,8.514731305710994e-6
22.csv,115964,c479-052,1,2.5,0.5,5.0,2.5,-0.10876605872612317,286.10082835200006,0.649019138342487,16,1810,-0.10877621791884429,4.3833667040725435e-5,-0.1087711332214156,7.3486361871171475e-6
22.csv,115964,c479-052,2,5.0,0.5,2.5,1.0,-0.10876628607737664,59.8717476554,0.48764197368625234,16,2145,-0.10878043301634101,5.3201907331862496e-5,-0.10876802909501275,6.573488568489716e-6
22.csv,115964,c479-052,3,5.0,5.0,0.25,0.5,-0.10876739538240372,82.10495818720001,0.4225247278719495,16,2263,-0.10880814991052426,5.086636618807835e-5,-0.10876797719089203,8.112102441526392e-6
22.csv,115964,c479-052,4,0.25,10.0,0.5,0.001,-0.10883484156082748,274.6241649104,0.7442461460753361,16,603,-0.10892416266066979,7.89942773021085e-5,-0.10883452623471035,9.706279423984258e-6
22.csv,115964,c479-052,1,0.5,0.001,0.25,2.5,-0.10898051998530356,300.2310900894,0.975262317509598,17,697,-0.10899068604850538,9.8753777038971e-5,-0.10897604659417084,9.881326427837706e-6
22.csv,115964,c479-052,2,0.25,20.0,0.75,0.5,-0.10880390687784045,245.7746738024,5.0,17,660,-0.10889934671907453,8.370293069157455e-5,-0.10880544144432217,9.722074088753632e-6
22.csv,115964,c479-052,3,0.001,2.5,0.5,0.001,-0.10928793725472793,300.1635163282,4.782354491996406,17,162,-0.10895707977309713,9.242692755455168e-5,-0.10928337176138309,9.99084212196763e-6
22.csv,115964,c479-052,4,0.001,20.0,0.25,20.0,-0.10891333589739999,300.2293105728,5.0,17,308,-0.108942212084352,9.128693011161306e-5,-0.10891474315654112,9.976707584791521e-6
22.csv,115964,c479-052,1,2.5,2.5,1.25,1.0,-0.10876626872010374,56.0263513386,1.4929407546399847,18,1893,-0.10874403749076707,3.324135168047372e-5,-0.10876443964082513,5.983660735201595e-6
22.csv,115964,c479-052,2,5.0,5.0,1.25,1.0,-0.10876750327472713,69.3833302346,0.6516754097090373,18,2285,-0.10876246755360945,4.0252353863062266e-5,-0.10876831664245015,7.024988537691722e-6
22.csv,115964,c479-052,3,1.25,20.0,0.25,0.5,-0.10877098880218679,131.05582813339998,1.6617233309067216,18,1675,-0.10879420032626014,4.844849313696744e-5,-0.1087722011893797,8.767942161579403e-6
22.csv,115964,c479-052,4,5.0,1.0,5.0,2.5,-0.10876684311245931,42.992043218,1.4429013324419988,18,2202,-0.1087679476622215,2.7148623105074873e-5,-0.10876691277139326,7.827824488811381e-6
22.csv,115964,c479-052,1,5.0,2.5,5.0,20.0,-0.10876684859484974,61.877535947599995,3.111926840359847,19,2254,-0.10879046052487067,3.986238922470453e-5,-0.10877729897604818,8.646338461435069e-6
22.csv,115964,c479-052,2,1.25,0.5,5.0,0.5,-0.10876611668313158,74.63889901719999,0.7060457180424737,19,1465,-0.10879020901857239,4.4832778121423774e-5,-0.10879680582572121,7.564547355065887e-6
22.csv,115964,c479-052,3,2.5,20.0,0.5,1.0,-0.10876621507460338,98.4624596668,3.8901039532860806,19,2026,-0.1087720519872479,2.6153368880994142e-5,-0.10876575205955204,7.051514844845189e-6
22.csv,115964,c479-052,4,0.25,5.0,5.0,0.5,-0.10885210970961051,227.06370652639998,4.197676382326977,19,583,-0.10883370647753582,6.021904459165878e-5,-0.10885156598064678,9.752646176629867e-6
22.csv,115964,c479-052,1,2.5,0.5,0.5,0.001,-0.10876618371611699,205.57396056460001,0.35484171602030756,20,1779,-0.10886027208125376,7.83340366171795e-5,-0.1087732759790874,7.813962211441936e-6
22.csv,115964,c479-052,2,0.75,2.5,2.5,20.0,-0.10878148115604347,86.22874741460001,1.8790453231241362,20,1218,-0.10881143089718506,4.6405897482527986e-5,-0.10877935154207631,8.763942582795067e-6
22.csv,115964,c479-052,3,0.5,0.5,5.0,0.001,-0.10878854262456561,300.15247160999996,0.3723670638970879,20,778,-0.10882667973631309,7.373167676631125e-5,-0.1087886598974222,9.281526381127433e-6
22.csv,115964,c479-052,4,5.0,5.0,0.001,2.5,-0.10881520982352072,233.85329213140002,1.9571350599259774,20,2258,-0.10885242439715474,7.728905757326331e-5,-0.10881500818221851,9.519524985744718e-6
22.csv,115964,c479-052,1,5.0,0.5,0.75,0.001,-0.10877983125053221,300.2522658324,0.18381671535042482,21,2129,-0.10877095778799367,2.6212694865537328e-5,-0.10877290480084137,8.704490196683907e-6
