slambdasl1,slambdasl2,tlambdasl1,tlambdasl2,pred,band,tested
0.001,0.001,0.001,0.001,-0.11073282717203456,9.999504883964233e-6,true
0.001,0.001,0.001,0.5,-0.1087438527408394,9.666508593118901e-5,false
0.001,0.001,0.001,1.0,-0.10924133924421363,9.140102218251823e-5,false
0.001,0.001,0.001,2.5,-0.11007629724373737,7.635850595944546e-5,false
0.001,0.001,0.001,5.0,-0.11069504171324748,5.7089168065987134e-5,false
0.001,0.001,0.001,10.0,-0.11114592287023105,3.173326975145324e-5,false
0.001,0.001,0.001,20.0,-0.1113112453146778,9.999481197134036e-6,true
0.001,0.001,0.25,0.001,-0.1085910804567563,9.127557856733641e-5,false
0.001,0.001,0.25,0.5,-0.10800682035951371,9.941276293405674e-5,false
0.001,0.001,0.25,1.0,-0.10811545395184169,9.856898571992479e-5,false
0.001,0.001,0.25,2.5,-0.1082987374000055,9.638106422243492e-5,false
0.001,0.001,0.25,5.0,-0.10843440990205457,9.409278620514845e-5,false
0.001,0.001,0.25,10.0,-0.10853274445349116,9.203787311483424e-5,false
0.001,0.001,0.25,20.0,-0.10856768693708996,9.119540029466315e-5,false
0.001,0.001,0.5,0.001,-0.10880963928199365,8.102736860308312e-5,false
0.001,0.001,0.5,0.5,-0.10806040463731577,9.881812032971788e-5,false
0.001,0.001,0.5,1.0,-0.10819412049778988,9.706668916070071e-5,false
0.001,0.001,0.5,2.5,-0.10842029205965488,9.244866853793918e-5,false
0.001,0.001,0.5,5.0,-0.10858787516492793,8.748497541351571e-5,false
0.001,0.001,0.5,10.0,-0.10870942840239282,8.28889449114108e-5,false
0.001,0.001,0.5,20.0,-0.10875275536759699,8.09624006983473e-5,false
0.001,0.001,0.75,0.001,-0.1089630097352048,7.195423941639346e-5,false
0.001,0.001,0.75,0.5,-0.10809948350626418,9.83504763937887e-5,false
0.001,0.001,0.75,1.0,-0.10825206585739836,9.587111485012415e-5,false
0.001,0.001,0.75,2.5,-0.10851041961479861,8.923673631293838e-5,false
0.001,0.001,0.75,5.0,-0.10870195001713068,8.191741857044436e-5,false
0.001,0.001,0.75,10.0,-0.10884095462108,7.49164370062619e-5,false
0.001,0.001,0.75,20.0,-0.10889064220709943,7.190269789135718e-5,false
0.001,0.001,1.25,0.001,-0.1091520622156887,5.707948118609954e-5,false
0.001,0.001,1.25,0.5,-0.10814808466537,9.7701956038823e-5,false
0.001,0.001,1.25,1.0,-0.10832450871350903,9.419405201257557e-5,false
0.001,0.001,1.25,2.5,-0.10862352288318255,8.459391800146435e-5,false
