fn,pid,host,thread,λsl1,λsl2,λtl1,λtl2,cv_logll,cv_logll_std,time,alpha,gen,prev_pred,prev_sd,prim_norm,dual_norm,steps,final_pred,final_sd
09.csv,164818,c460-004,"1, 2, 3, 4, 5",0.010935891025097478,1.1341501640385923,1.6946145224537743,0.4909007055361537,-0.30415107526536855,0.008316614967970521,1202.1905880212,0.321380773122617,1,-Inf,0.0,0.061221282829162414,0.07544130507740333,1287.0,-0.2673971891454795,0.018780426687226914
09.csv,164818,c460-004,"6, 7, 8, 9, 10",1.0457935535627845,0.15296447401133623,0.382337487293233,0.00018556273755607224,-0.30041133322652136,0.007941356861526796,1202.3333167140001,0.2414581315722141,1,-Inf,0.0,0.01083084201842947,0.020486152180753593,1384.2,-0.2865019432017303,0.014684122661263753
09.csv,164818,c460-004,"11, 12, 13, 14, 15",4.7234820669421955,0.2365381920660039,0.5337729542911147,0.0014976958937293837,-0.3079831127383322,0.00837588186549911,1202.35667664,0.3888707354783666,1,-Inf,0.0,0.020235589224829955,0.12850967089845128,1406.4,-0.25985309775831417,0.02041111645384619
09.csv,164818,c460-004,"16, 17, 18, 19, 20",0.10301108829993072,3.040286445112672,0.10477464545732211,0.08868213651302805,-0.2984624796016725,0.008240460401135253,1202.3542617055998,0.1362968204720097,1,-Inf,0.0,0.05858448585743366,0.007594906762957268,1329.8,-0.2630360521266418,0.019700918087429437
09.csv,164818,c460-004,"21, 22, 23, 24, 25",0.016779099248846175,0.0457527168495717,0.17895261387133327,0.0038056809934021826,-0.265216039319069,0.010542218912199716,1202.2262007781999,0.058959220092999844,1,-Inf,0.0,0.214622306788594,0.03840812621333926,1307.8,-0.2955694093993252,0.010745818681940609
09.csv,164818,c460-004,"26, 27, 28, 29, 30",0.08484948193735062,0.00010851434253538977,0.5129484092922958,0.01451242088073667,-0.29082042694468385,0.008832099946405592,1202.0772128442,0.1239062004290997,1,-Inf,0.0,0.031569667186377146,0.012553445401281482,1359.8,-0.28936618005024906,0.011869962017142173
09.csv,164818,c460-004,"1, 2, 3, 4, 5",0.014274160257789908,0.005142203191031237,0.38422371659395477,0.00013285690462850943,-0.26266110093598943,0.009752696672294645,1201.6727138918,0.06127134637115671,2,-0.27556963534363577,0.011009224976132725,0.16414189830570947,0.04125606816205167,1411.4,-0.2921461449316898,0.011255901989255974
09.csv,164818,c460-004,"6, 7, 8, 9, 10",0.017710242757594474,0.0043269483101129715,0.031702514698692105,0.00021443870886140917,-0.24565515637775986,0.013630562450674285,1201.8778677226,0.03125,2,-0.2743697080636572,0.011421181692166665,0.8388748078529277,0.041324295993906274,1477.0,-0.2983927712678104,0.010112388305269978
09.csv,164818,c460-004,"11, 12, 13, 14, 15",0.01228723687818734,0.038609951587992596,0.01662394305026434,0.00044465017064687737,-0.2622867289747146,0.008201389440039931,1201.891258922,0.03125,2,-0.26980012226175987,0.009885461284565095,0.37563373141359335,0.024934012645488286,1452.0,-0.2984341790535422,0.010200984106407194
09.csv,164818,c460-004,"16, 17, 18, 19, 20",0.02762221966736332,0.1409458087808993,0.01816950429690501,0.0002490071886854248,-0.2815070269052863,0.00827088662553973,1201.7954969527998,0.05675219046385012,2,-0.27585006154868186,0.010261974743624835,0.18091706672974855,0.016316929375564768,1381.4,-0.29760508774190386,0.010671700762293033
09.csv,164818,c460-004,"21, 22, 23, 24, 25",0.020306009150261595,0.05806338262716039,0.01953131884658947,0.07771342936327219,-0.27201448863946276,0.00908360299348857,1201.8435771134,0.04342836735831811,2,-0.2780831692114598,0.010338730320494646,0.19261303022548287,0.011984313044563197,1435.4,-0.29800089829150056,0.010364948845384681
09.csv,164818,c460-004,"26, 27, 28, 29, 30",0.018073706288635347,0.0007387693648398707,0.19641224025235254,0.0006604620694248594,-0.24995783920611067,0.012501610574091764,1201.9546497856002,0.03152567503505906,2,-0.27772434391549927,0.010204097687978685,0.6909431543242083,0.026684826072070976,1461.0,-0.2955249246194422,0.010609907290159872
09.csv,164818,c460-004,"1, 2, 3, 4, 5",5.241734026387974,0.004049767390806002,0.07970497527512478,0.5648376944593655,-0.32639597084359584,0.006851648191351517,1201.5751230164,1.6770148772017195,3,-0.2896263688082859,0.01956619786800249,0.040511515052171425,0.4089317278260788,1510.8,-0.2589531695366542,0.02043004165698142
