slambdasl1,slambdasl2,tlambdasl1,tlambdasl2,pred,band,tested
0.001,0.001,0.001,0.001,-0.07301684174486747,9.999362987205859e-6,true
0.001,0.001,0.001,0.5,-0.07219326833650964,9.050236273807802e-6,true
0.001,0.001,0.001,1.0,-0.07207202966260988,7.002969469319343e-6,true
0.001,0.001,0.001,2.5,-0.07168487430096894,6.8674584080776126e-6,true
0.001,0.001,0.001,5.0,-0.07153752392694997,6.608844220413611e-6,true
0.001,0.001,0.001,10.0,-0.07172454988396636,6.597528240950859e-6,true
0.001,0.001,0.001,20.0,-0.07221509094560134,9.061379440599548e-6,true
0.001,0.001,0.25,0.001,-0.07141833724611782,9.090405764762227e-5,false
0.001,0.001,0.25,0.5,-0.0680210580727937,8.515545086294663e-6,true
0.001,0.001,0.25,1.0,-0.06944848262814639,7.229433350397751e-6,true
0.001,0.001,0.25,2.5,-0.07142934017012256,9.337219045468359e-6,true
0.001,0.001,0.25,5.0,-0.07250345360149714,2.0965282540445362e-5,false
0.001,0.001,0.25,10.0,-0.07298333668948208,3.8706593614104105e-5,false
0.001,0.001,0.25,20.0,-0.07290592459640775,5.755932272970314e-5,false
0.001,0.001,0.5,0.001,-0.0718020065162779,8.071863030633165e-5,false
0.001,0.001,0.5,0.5,-0.07221818826561723,8.427097991036217e-6,true
0.001,0.001,0.5,1.0,-0.07330214947605175,8.331898712035545e-6,true
0.001,0.001,0.5,2.5,-0.0743435190665823,1.5359654003286836e-5,false
0.001,0.001,0.5,5.0,-0.07455570387934438,2.5161242629308292e-5,false
0.001,0.001,0.5,10.0,-0.07423360961297475,3.888792293803686e-5,false
0.001,0.001,0.5,20.0,-0.07352731419862721,5.4460170295143394e-5,false
0.001,0.001,0.75,0.001,-0.07204497168246977,7.17048850649899e-5,false
0.001,0.001,0.75,0.5,-0.07450660850215773,1.3900482172921838e-5,false
0.001,0.001,0.75,1.0,-0.0753444021031937,1.3556722721824027e-5,false
0.001,0.001,0.75,2.5,-0.07580212756603312,2.0904366445976728e-5,false
0.001,0.001,0.75,5.0,-0.07551399594694899,2.8635920791147817e-5,false
0.001,0.001,0.75,10.0,-0.07475225659792911,3.8635666066254586e-5,false
0.001,0.001,0.75,20.0,-0.07372496650752763,5.117523518290206e-5,false
0.001,0.001,1.25,0.001,-0.07232762966882002,5.6912846077028696e-5,false
0.001,0.001,1.25,0.5,-0.07680686231505064,2.5441563871905188e-5,false
0.001,0.001,1.25,1.0,-0.07732883523943568,2.423937001594022e-5,false
0.001,0.001,1.25,2.5,-0.07711677080527464,2.8679550799259936e-5,false
0.001,0.001,1.25,5.0,-0.07628898974407089,3.202201948591015e-5,false
0.001,0.001,1.25,10.0,-0.07507947731531217,3.5765618626233404e-5,false
0.001,0.001,1.25,20.0,-0.0737508657188094,4.365925541763055e-5,false
0.001,0.001,2.5,0.001,-0.07260008597441914,3.166407287200218e-5,false
0.001,0.001,2.5,0.5,-0.07847031433814289,4.55431329759296e-5,false
0.001,0.001,2.5,1.0,-0.07861950550720088,4.322511517766727e-5,false
0.001,0.001,2.5,2.5,-0.07774779816261423,4.155493350186054e-5,false
0.001,0.001,2.5,5.0,-0.07645160255035796,3.660993190534933e-5,false
0.001,0.001,2.5,10.0,-0.07490407720149919,2.8191341571083143e-5,false
0.001,0.001,2.5,20.0,-0.07339973493830483,2.6616023180373223e-5,false
0.001,0.001,5.0,0.001,-0.07268072533433657,9.999397425857145e-6,true
0.001,0.001,5.0,0.5,-0.0784153643561627,6.540330850835909e-5,false
0.001,0.001,5.0,1.0,-0.07831158255633923,6.241512235158075e-5,false
0.001,0.001,5.0,2.5,-0.07714083070911204,5.605174604546393e-5,false
0.001,0.001,5.0,5.0,-0.07571795179809937,4.50548903184918e-5,false
0.001,0.001,5.0,10.0,-0.07415662192037187,2.6994289259017556e-5,false
0.001,0.001,5.0,20.0,-0.07273579394727292,9.990095508793664e-6,true
0.001,0.5,0.001,0.001,-0.07269219891490127,9.995752258225025e-6,true
0.001,0.5,0.001,0.5,-0.07301575752355338,9.999022295228311e-6,true
0.001,0.5,0.001,1.0,-0.0729889072193831,3.141438771063951e-5,false
0.001,0.5,0.001,2.5,-0.07273251945741406,6.293405880378627e-5,false
0.001,0.5,0.001,5.0,-0.072440615571315,7.911395962914184e-5,false
0.001,0.5,0.001,10.0,-0.07212913907053702,8.867668266215391e-5,false
0.001,0.5,0.001,20.0,-0.07183409014460608,9.356529158463598e-5,false
0.001,0.5,0.25,0.001,-0.07295468082796105,9.998706604315825e-6,true
0.001,0.5,0.25,0.5,-0.07298191734019624,9.999300685013777e-6,true
0.001,0.5,0.25,1.0,-0.07292887267944223,3.1650241125815736e-5,false
0.001,0.5,0.25,2.5,-0.07261859514332249,6.381298773351746e-5,false
0.001,0.5,0.25,5.0,-0.07227091990872979,8.066676418897312e-5,false
0.001,0.5,0.25,10.0,-0.07190038724859432,9.08634862217937e-5,false
0.001,0.5,0.25,20.0,-0.07155840590741386,9.607573071938861e-5,false
0.001,0.5,0.5,0.001,-0.07292230461077406,3.120889665101441e-5,false
0.001,0.5,0.5,0.5,-0.07294047404134844,3.1608176805830115e-5,false
0.001,0.5,0.5,1.0,-0.07290272531416754,4.253829767913616e-5,false
0.001,0.5,0.5,2.5,-0.07262452452117703,6.76106307982368e-5,false
0.001,0.5,0.5,5.0,-0.07230430312433028,8.216739406562598e-5,false
0.001,0.5,0.5,10.0,-0.07195733964764307,9.115981754213729e-5,false
0.001,0.5,0.5,20.0,-0.07163002777124552,9.581628368747148e-5,false
0.001,0.5,0.75,0.001,-0.07283826276061832,4.624254973197276e-5,false
0.001,0.5,0.75,0.5,-0.07283833624811123,4.699405503377126e-5,false
0.001,0.5,0.75,1.0,-0.07281347795096879,5.385018951357455e-5,false
0.001,0.5,0.75,2.5,-0.07256814053859595,7.252832209035952e-5,false
0.001,0.5,0.75,5.0,-0.07227845461518188,8.434980225417737e-5,false
0.001,0.5,0.75,10.0,-0.07195985290259797,9.183646548074277e-5,false
0.001,0.5,0.75,20.0,-0.071653507372618,9.577896931983046e-5,false
0.001,0.5,1.25,0.001,-0.07267169557206249,6.260460811552494e-5,false
